"TOA5","CRNP_1","CR300","13298","CR310.Std.10.04","CPU:221025_KIHS_Hydro_mod_WS500.CR300","4478","Hour1_HongCheon_AWS"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2025-06-10 15:00:00",23016,23.19,68.59,957.43,0.797,2.8,50.13,1127
"2025-06-10 16:00:00",23017,23.04,69.24,957.3134,0.77,2.5,77.38,1128
"2025-06-10 17:00:00",23018,22.78,68,957.15,0.73,2.4,63.22,1202
"2025-06-10 18:00:00",23019,22.27,68.69,957.2767,0.76,2.1,70.67,1197
"2025-06-10 19:00:00",23020,21.42,70.98,957.72,0.51,1.6,46.05,1133
"2025-06-10 20:00:00",23021,19.55,77.19,958.3134,0.167,1.6,5.658,1188
"2025-06-10 21:00:00",23022,18.51,79.42,958.9933,0.023,0.8,319.5,1157
"2025-06-10 22:00:00",23023,18.03,82.2,959.85,0.21,1.2,18.44,1141
"2025-06-10 23:00:00",23024,17.16,86.2,960.3633,0.09,1,320,1192
"2025-06-11 00:00:00",23025,16.53,89.1,960.7567,0.177,0.8,355.8,1158
"2025-06-11 01:00:00",23026,16.15,89.6,960.91,0.23,0.9,240.6,1187
"2025-06-11 02:00:00",23027,15.71,90.6,960.8433,0.49,1.3,185.1,1161
"2025-06-11 03:00:00",23028,14.88,93.7,960.8834,0.387,1.1,216,1135
"2025-06-11 04:00:00",23029,14.18,97.2,961.1266,0.217,0.9,295,1067
"2025-06-11 05:00:00",23030,13.66,98.3,961.27,0.49,1.1,259.3,1193
"2025-06-11 06:00:00",23031,13.44,98.2,961.7833,0.35,1,252.9,1121
"2025-06-11 07:00:00",23032,14.27,95.5,962.1767,0.287,1.4,72.16,1202
"2025-06-11 08:00:00",23033,15.41,89.2,962.74,0.483,1.8,82.2,1124
"2025-06-11 09:00:00",23034,17.15,77.69,963.1767,0.513,1.8,68.81,1142
"2025-06-11 10:00:00",23035,19.11,69.19,963.2167,0.747,1.9,77.87,1091
"2025-06-11 11:00:00",23036,20.79,60.32,963.27,0.967,3.6,78.69,1164
"2025-06-11 12:00:00",23037,22.42,53.6,963.44,0.987,3.4,70.56,1141
"2025-06-11 13:00:00",23038,23.61,49.78,963.0933,1.137,5,83.5,1155
"2025-06-11 14:00:00",23039,24.32,47.05,962.7033,1.143,3.9,83.7,1156
"2025-06-11 15:00:00",23040,24.92,43.16,962.4233,1.02,3.9,78.92,1147
"2025-06-11 16:00:00",23041,25,42.81,962.1033,0.827,3,80.4,1131
"2025-06-11 17:00:00",23042,24.87,42.69,962.1166,0.773,2.7,24.59,1165
"2025-06-11 18:00:00",23043,23.91,47.29,962.3033,0.56,2.4,10.46,1129
"2025-06-11 19:00:00",23044,22.81,51.34,962.77,0.433,1.5,344.6,1145
"2025-06-11 20:00:00",23045,21.99,53.92,963.43,0.39,1.4,351.2,1086
"2025-06-11 21:00:00",23046,21.35,56.24,964.1067,0.247,1.2,346.1,1132
"2025-06-11 22:00:00",23047,20.69,59.23,964.8066,0.51,1.3,169.3,1152
"2025-06-11 23:00:00",23048,19.42,63.92,965.2567,0.66,1.3,255.5,1132
"2025-06-12 00:00:00",23049,18.98,65.3,965.47,0.557,1.2,262.7,1123
"2025-06-12 01:00:00",23050,18.57,65.89,965.44,0.473,1.3,237.4,1119
"2025-06-12 02:00:00",23051,18.18,64.51,965.79,0.453,1.2,226.2,1081
"2025-06-12 03:00:00",23052,17.88,63.61,965.96,0.437,1.2,231.4,1132
"2025-06-12 04:00:00",23053,17.28,65.71,966.0533,0.513,1.2,242.5,1163
"2025-06-12 05:00:00",23054,16.9,67.6,966.3633,0.203,1.2,261.4,1087
"2025-06-12 06:00:00",23055,16.08,72.84,966.73,0.153,1.1,325.1,1171
"2025-06-12 07:00:00",23056,16,78.09,967.1866,0,0.5,0,1097
"2025-06-12 08:00:00",23057,17.05,77.24,967.5433,0.127,0.8,52.71,1147
"2025-06-12 09:00:00",23058,19.5,71.01,967.73,0.55,1,72.9,1097
"2025-06-12 10:00:00",23059,21.97,60.06,967.51,0.563,1.2,60.54,1165
"2025-06-12 11:00:00",23060,23.82,54.38,967.3134,0.743,2.3,50.49,1074
"2025-06-12 12:00:00",23061,25.49,44.51,967.0634,0.717,2.4,58.04,1115
"2025-06-12 13:00:00",23062,25.88,46.3,966.4366,0.603,2.4,14.96,1107
"2025-06-12 14:00:00",23063,26.31,46.03,966.0034,0.633,2.5,25.69,1095
"2025-06-12 15:00:00",23064,27.14,43.63,965.7567,0.717,3.2,28.07,1105
"2025-06-12 16:00:00",23065,26.8,45.6,965.4733,0.527,2,70.97,1130
"2025-06-12 17:00:00",23066,26.74,46.45,965.2267,0.19,2,359,1205
"2025-06-12 18:00:00",23067,26.37,48.04,965.32,0.253,1.5,351.3,1137
"2025-06-12 19:00:00",23068,25.68,50.71,965.8233,0.233,0.9,329.7,1166
"2025-06-12 20:00:00",23069,24.42,53.28,966.3467,0.183,0.8,312.4,1145
"2025-06-12 21:00:00",23070,23.47,54.3,966.74,0.453,1.1,203,1138
"2025-06-12 22:00:00",23071,22.65,55.93,967.13,0.55,1.2,247.4,1054
"2025-06-12 23:00:00",23072,22.22,57.15,966.9467,0.707,1.3,240.2,1072
"2025-06-13 00:00:00",23073,21.7,56.8,966.77,0.483,1.1,271.6,1141
"2025-06-13 01:00:00",23074,21.38,57.26,966.71,0.22,1,297.4,1134
"2025-06-13 02:00:00",23075,20.71,60.09,966.98,0.13,0.7,314.7,1089
"2025-06-13 03:00:00",23076,19.88,63.12,967.0733,0.01,0.9,351.3,1106
"2025-06-13 04:00:00",23077,19.86,62.98,967.1967,0.433,1,276.2,1097
"2025-06-13 05:00:00",23078,19.16,65.49,967.28,0.317,1,293.7,1102
"2025-06-13 06:00:00",23079,19.41,65.71,967.1433,0.32,1.1,270.8,1097
"2025-06-13 07:00:00",23080,19.53,67.4,966.77,0.17,1.2,292.6,1167
"2025-06-13 08:00:00",23081,18.05,77.41,966.6833,0,0.7,0,1081
"2025-06-13 09:00:00",23082,20.33,72.68,966.6133,0.167,1.1,4.67,1040
"2025-06-13 10:00:00",23083,22.91,61.85,966.5333,0.497,1.7,65.52,1183
"2025-06-13 11:00:00",23084,23.36,61.82,966.5433,0.353,1.6,68.22,1125
"2025-06-13 12:00:00",23085,24.66,57.38,966.2667,0.5,2.5,36.48,1103
"2025-06-13 13:00:00",23086,26.47,49.49,965.78,0.903,2.5,55.03,1097
"2025-06-13 14:00:00",23087,26.93,44.78,965.2733,0.82,2.9,64.72,1091
"2025-06-13 15:00:00",23088,26.7,39.22,964.2833,0.51,1.5,56.54,1164
"2025-06-13 16:00:00",23089,25.98,48.39,963.5034,0.223,1.6,16.71,1151
"2025-06-13 17:00:00",23090,25.04,51.16,963.0367,0.047,0.9,355.7,1130
"2025-06-13 18:00:00",23091,24.17,55.14,962.4867,0.047,0.7,315.2,1146
"2025-06-13 19:00:00",23092,23,58.03,962.56,0.09,1.5,354.8,1171
"2025-06-13 20:00:00",23093,20.13,68.9,963.0466,0.193,1.3,20.07,1108
"2025-06-13 21:00:00",23094,16.94,93.3,962.86,0.223,1.2,286.7,1133
"2025-06-13 22:00:00",23095,16.26,97.4,962.6866,0.113,0.8,338.9,1201
"2025-06-13 23:00:00",23096,16.34,99.9,962.9567,0.04,0.9,3.845,1134
"2025-06-14 00:00:00",23097,16.3,100,962.5367,0.027,0.7,355.1,1200
"2025-06-14 01:00:00",23098,16.18,99.9,961.16,0.36,1,340.4,1088
"2025-06-14 02:00:00",23099,16.57,97.2,959.82,0.423,1.8,249,1100
"2025-06-14 03:00:00",23100,16.76,97.7,959.3066,0.543,1.6,252.1,1195
"2025-06-14 04:00:00",23101,16.45,99.9,958.8967,0.317,1,10.52,1178
"2025-06-14 05:00:00",23102,16.43,100,958,0.03,0.7,341.4,1114
"2025-06-14 06:00:00",23103,16.78,100,957.4733,0.513,1.2,9.88,1120
"2025-06-14 07:00:00",23104,16.67,100,956.63,0.46,1.2,4.108,1131
"2025-06-14 08:00:00",23105,16.96,100,956.58,0.263,0.9,340.8,1138
"2025-06-14 09:00:00",23106,17.59,100,955.77,0.17,1,9.37,1215
"2025-06-14 10:00:00",23107,19.31,95.3,955.3867,0.413,1.2,42.45,1226
"2025-06-14 11:00:00",23108,22.62,83.1,955.3834,0.63,1.4,78.61,1195
"2025-06-14 12:00:00",23109,24.18,76.64,954.71,0.53,1.4,51.12,1257
"2025-06-14 13:00:00",23110,26.05,69.34,954.0933,0.747,2.4,37.44,1211
"2025-06-14 14:00:00",23111,26.24,68.27,953.58,0.697,3,51,1232
"2025-06-14 15:00:00",23112,26.79,66.39,952.9966,0.727,2.8,67.47,1216
"2025-06-14 16:00:00",23113,26.63,69.35,952.57,0.24,1.3,352.1,1225
"2025-06-14 17:00:00",23114,27.29,64.61,952,0.59,1.8,348.4,1265
"2025-06-14 18:00:00",23115,26.79,66.54,951.6533,0.193,1.7,299.6,1238
"2025-06-14 19:00:00",23116,26.55,67.23,952.01,0.073,0.8,352,1231
"2025-06-14 20:00:00",23117,25.67,70.66,952.4167,0.48,0.9,253,1154
"2025-06-14 21:00:00",23118,24.82,74.44,952.95,0.44,1.2,234.4,1147
"2025-06-14 22:00:00",23119,24.22,77.43,953.8134,0.073,1,299.5,1184
"2025-06-14 23:00:00",23120,23.65,80.5,954.39,0.47,1.3,256.4,1227
"2025-06-15 00:00:00",23121,22.75,85.3,954.42,0.4,1.3,270.6,1132
"2025-06-15 01:00:00",23122,21.86,89.8,954.02,0.543,0.9,262.8,1180
"2025-06-15 02:00:00",23123,21.42,92.3,953.6333,0.363,1,260.6,1168
"2025-06-15 03:00:00",23124,20.91,94.7,953.5033,0.44,1.1,202.9,1121
"2025-06-15 04:00:00",23125,20.75,95.2,953.9567,0.247,1.1,217.1,1208
"2025-06-15 05:00:00",23126,21,93.9,954.14,0,0.7,348.9,1218
"2025-06-15 06:00:00",23127,20.78,94.7,954.1533,0.057,0.6,12.48,1178
"2025-06-15 07:00:00",23128,20.81,94.6,954.2733,0,0.7,0,1191
"2025-06-15 08:00:00",23129,21.12,90.3,954.3633,0.05,0.8,8.2,1173
"2025-06-15 09:00:00",23130,21.67,86.5,954.4533,0.143,1.2,12.2,1151
"2025-06-15 10:00:00",23131,23.44,80.7,953.95,0.62,2,56.85,1166
"2025-06-15 11:00:00",23132,24.47,77.29,953.51,0.75,2.5,43.01,1221
"2025-06-15 12:00:00",23133,26.34,70.13,952.9366,0.763,2.2,53.02,1165
"2025-06-15 13:00:00",23134,27.44,64.85,952.3734,0.843,2.6,52.6,1174
"2025-06-15 14:00:00",23135,27.9,60.17,951.8367,0.793,2.8,62.96,1184
"2025-06-15 15:00:00",23136,28.08,59.36,951.2633,0.747,2.4,54.68,1234
"2025-06-15 16:00:00",23137,27.35,64.58,950.9866,0.503,2.7,24.04,1246
"2025-06-15 17:00:00",23138,26.94,65.79,951.0367,0.383,2.4,13.33,1142
"2025-06-15 18:00:00",23139,26.28,68.91,950.4966,0.013,1,358,1237
"2025-06-15 19:00:00",23140,25.95,71.04,950.1567,0,0.8,358.1,1242
"2025-06-15 20:00:00",23141,25.39,73.39,950.03,0.147,0.9,321.4,1264
"2025-06-15 21:00:00",23142,23.82,85.3,950.2433,0.41,3.1,322,1229
"2025-06-15 22:00:00",23143,21.96,100,950.5533,0.21,1,242.7,1173
"2025-06-15 23:00:00",23144,21.85,100,950.58,0.25,1.5,9.9,1111
"2025-06-16 00:00:00",23145,21.26,100,950.23,0.15,1.5,22.29,1138
"2025-06-16 01:00:00",23146,21.21,100,949.5833,0,0.7,359.1,1156
"2025-06-16 02:00:00",23147,21,100,949.23,0.403,3.7,25.06,1060
"2025-06-16 03:00:00",23148,20.02,100,949.31,0.347,3.7,12.62,1097
"2025-06-16 04:00:00",23149,19.82,100,949.3567,0.197,1,30.11,1143
"2025-06-16 05:00:00",23150,19.81,100,949.6,0,0.6,0,1091
"2025-06-16 06:00:00",23151,19.88,100,949.64,0.02,0.9,0,1074
"2025-06-16 07:00:00",23152,20.04,100,949.94,0.01,0.9,0,1088
"2025-06-16 08:00:00",23153,20.14,100,950.2633,0.01,0.8,2.553,1179
"2025-06-16 09:00:00",23154,20.32,100,950.3234,0,0.8,0,1185
"2025-06-16 10:00:00",23155,20.62,100,950.2267,0.093,0.9,14.19,1128
"2025-06-16 11:00:00",23156,20.58,100,950.6934,0.05,0.9,18.95,1124
"2025-06-16 12:00:00",23157,20.94,100,951.1833,0.123,1.2,23.93,1093
"2025-06-16 13:00:00",23158,21.48,99.9,950.9533,0.25,1.1,47.15,1122
"2025-06-16 14:00:00",23159,22.44,97.6,950.31,0.42,2.1,47,1119
"2025-06-16 15:00:00",23160,21.86,97.8,950.2833,0.53,1.8,38.03,1158
"2025-06-16 16:00:00",23161,20.88,100,950.8033,0.273,1.6,5.451,1123
"2025-06-16 17:00:00",23162,20.96,100,950.95,0.24,1.2,2.956,1109
"2025-06-16 18:00:00",23163,20.83,100,951.2933,0.283,1.2,353.7,1126
"2025-06-16 19:00:00",23164,20.87,100,951.4167,0.363,1,283.1,1158
"2025-06-16 20:00:00",23165,20.55,100,951.5167,0.227,1.4,350.8,1073
"2025-06-16 21:00:00",23166,20.23,100,951.9866,0.253,0.9,322.3,1120
"2025-06-16 22:00:00",23167,19.77,100,953.0533,0.243,1.3,350.3,1080
"2025-06-16 23:00:00",23168,18.84,100,953.87,0.44,1.9,319.2,1042
"2025-06-17 00:00:00",23169,18.39,99.8,954.1067,0.413,0.9,271.9,1125
"2025-06-17 01:00:00",23170,18.42,100,954.2466,0.047,0.9,345.7,1102
"2025-06-17 02:00:00",23171,18.41,100,954.28,0.2,0.7,288.7,1083
"2025-06-17 03:00:00",23172,18.22,100,954.6334,0.107,0.9,350.3,1095
"2025-06-17 04:00:00",23173,17.5,100,955.1033,0.11,0.9,330.9,1084
"2025-06-17 05:00:00",23174,17.33,100,955.31,0.02,0.9,342.9,1099
"2025-06-17 06:00:00",23175,17.49,100,955.7867,0.02,0.7,355.2,1125
"2025-06-17 07:00:00",23176,17.84,100,956.0967,0,0.7,0,1129
"2025-06-17 08:00:00",23177,18.64,99,956.6833,0.297,0.9,1.888,1084
"2025-06-17 09:00:00",23178,19.67,97.3,956.68,0.303,1.1,45.8,1122
"2025-06-17 10:00:00",23179,20.5,94.1,956.9933,0.517,1.7,58.72,1100
"2025-06-17 11:00:00",23180,22.1,85.9,957.2466,0.717,2.3,76.96,1129
"2025-06-17 12:00:00",23181,22.99,80.6,957.2667,0.607,2.1,74.34,1098
"2025-06-17 13:00:00",23182,23.5,76.46,957.2933,0.567,2,56.86,1053
"2025-06-17 14:00:00",23183,24.1,75.1,957.14,0.603,2,60.33,1061
"2025-06-17 15:00:00",23184,23.69,78.3,957.0367,0.52,1.7,1.67,1073
"2025-06-17 16:00:00",23185,23.4,82,957.2433,0.28,1.5,5.304,1071
"2025-06-17 17:00:00",23186,23.43,80.8,957.41,0.26,1.3,358.9,1031
"2025-06-17 18:00:00",23187,23.32,78.51,957.5167,0.217,0.9,311.6,1143
"2025-06-17 19:00:00",23188,22.94,79.33,957.8734,0.397,0.9,263.3,1127
"2025-06-17 20:00:00",23189,22.06,81.5,958.2733,0.52,1,259.1,1075
"2025-06-17 21:00:00",23190,21.22,83.6,958.8267,0.733,1.2,253.1,1099
"2025-06-17 22:00:00",23191,20.76,85.4,959.4867,0.65,1.2,246.8,1115
"2025-06-17 23:00:00",23192,20.52,85.9,959.93,0.51,1,246.9,1070
"2025-06-18 00:00:00",23193,20.09,87.6,960.1567,0.343,0.9,290.1,1041
"2025-06-18 01:00:00",23194,19.66,90.4,960.25,0.097,0.7,323.3,1065
"2025-06-18 02:00:00",23195,19.6,90.9,960.36,0.47,1,269.9,1117
"2025-06-18 03:00:00",23196,19.72,89.1,960.5867,0.553,1,256.9,1057
"2025-06-18 04:00:00",23197,19.25,92.7,960.8834,0.35,0.8,275.7,1033
"2025-06-18 05:00:00",23198,18.65,96.3,961.33,0.313,0.9,308.9,1069
"2025-06-18 06:00:00",23199,18.87,96.9,961.7534,0.19,0.9,303,1032
"2025-06-18 07:00:00",23200,19.09,97,962.22,0.01,0.7,358,1088
"2025-06-18 08:00:00",23201,20.03,95.2,962.6766,0.12,1.1,18.8,1074
"2025-06-18 09:00:00",23202,20.91,90.6,962.9567,0.597,2,33.46,1044
"2025-06-18 10:00:00",23203,21.82,81.1,962.9966,0.7,2.5,21.73,1029
"2025-06-18 11:00:00",23204,23.45,73.38,963.1367,0.643,1.9,48.22,1102
"2025-06-18 12:00:00",23205,24.58,70.34,963.33,0.683,2.4,74.39,1039
"2025-06-18 13:00:00",23206,25.27,65.16,963.3066,0.853,2.2,73.33,1042
"2025-06-18 14:00:00",23207,25.44,66.03,963.2767,0.753,2.8,76.63,1062
"2025-06-18 15:00:00",23208,25.67,64.64,963.1234,0.627,2.7,82.4,1045
"2025-06-18 16:00:00",23209,25.86,61.95,963.0333,0.83,2.3,72.35,1071
"2025-06-18 17:00:00",23210,25.64,62.62,963.06,0.547,2.8,56.71,1104
"2025-06-18 18:00:00",23211,25,67.2,963.21,0.467,2,355.9,1039
"2025-06-18 19:00:00",23212,24.39,68.42,963.2167,0.313,1,310.1,1100
"2025-06-18 20:00:00",23213,23.57,69.81,963.4933,0.54,0.9,257.9,1074
"2025-06-18 21:00:00",23214,22.89,70.88,963.7967,0.413,1,253.9,1081
"2025-06-18 22:00:00",23215,22.49,70.94,964.43,0.517,1,250.1,1105
"2025-06-18 23:00:00",23216,22.1,72.85,964.8567,0.693,1.1,259,1069
"2025-06-19 00:00:00",23217,21.6,76.05,965.1433,0.403,1.1,296.2,1062
"2025-06-19 01:00:00",23218,20.95,78.69,965.6,0.217,0.9,301.9,1040
"2025-06-19 02:00:00",23219,20.3,81.3,965.64,0.46,1.4,292.1,1047
"2025-06-19 03:00:00",23220,20.28,81.7,965.5767,0.623,1.4,235.9,1000
"2025-06-19 04:00:00",23221,20.12,83.7,965.79,0.49,1,248,1071
"2025-06-19 05:00:00",23222,19.24,88.1,966.12,0.213,0.9,298.8,1046
"2025-06-19 06:00:00",23223,18.92,89.3,966.1967,0.037,0.9,356.2,1096
"2025-06-19 07:00:00",23224,19.77,86.5,966.29,0.033,0.6,345.6,993
"2025-06-19 08:00:00",23225,20.37,89.5,966.48,0,0.5,3.777,1051
"2025-06-19 09:00:00",23226,22.21,83.6,966.6766,0.097,0.7,24.96,1041
"2025-06-19 10:00:00",23227,24.7,67.5,966.3033,0.32,1.1,358.6,1023
"2025-06-19 11:00:00",23228,26.08,59.48,966.2167,0.553,1.6,2.045,1025
"2025-06-19 12:00:00",23229,27.66,54.77,965.93,0.55,2,16.33,1129
"2025-06-19 13:00:00",23230,29.08,46.9,965.2733,0.497,2.1,59.95,1076
"2025-06-19 14:00:00",23231,28.55,46.62,965.11,0.387,2.1,24.53,1059
"2025-06-19 15:00:00",23232,29.01,46.76,964.7633,0.37,1.6,8.49,1024
"2025-06-19 16:00:00",23233,28.37,55.18,964.55,0.32,1.3,343.7,1078
"2025-06-19 17:00:00",23234,28.24,53.78,964.3067,0.22,1,311.6,1085
"2025-06-19 18:00:00",23235,27.44,54.99,963.9833,0.393,0.9,248.4,1066
"2025-06-19 19:00:00",23236,26.79,59.54,963.95,0.413,1,250,1061
"2025-06-19 20:00:00",23237,26.19,63.08,964.05,0.567,1,263.4,1056
"2025-06-19 21:00:00",23238,25.79,59.9,964.1166,0.677,1.2,263.4,1057
"2025-06-19 22:00:00",23239,25.16,60.01,964.2534,0.72,1.2,262.6,1102
"2025-06-19 23:00:00",23240,24.72,60.24,964.2267,0.637,1.2,258.6,1120
"2025-06-20 00:00:00",23241,24.21,61.99,963.58,0.61,1.2,260.3,1072
"2025-06-20 01:00:00",23242,24.12,64.24,963.0967,0.573,1.2,265.3,1070
"2025-06-20 02:00:00",23243,23.71,68.49,962.9033,0.137,1.1,351.4,1101
"2025-06-20 03:00:00",23244,21.14,95.2,962.8134,0.337,1.6,1.294,1026
"2025-06-20 04:00:00",23245,20.69,100,962.1766,0.1,0.9,326.6,1024
"2025-06-20 05:00:00",23246,20.78,100,961.3867,0.18,1.2,305.5,1026
"2025-06-20 06:00:00",23247,20.84,100,960.9534,0.283,1.1,318.7,1045
"2025-06-20 07:00:00",23248,20.94,100,960.3467,0.463,1.8,350.6,1022
"2025-06-20 08:00:00",23249,21.08,100,960.0733,0.407,1.6,20.53,1035
"2025-06-20 09:00:00",23250,21.11,100,959.8633,0.503,1.7,49.86,1029
"2025-06-20 10:00:00",23251,21.3,100,959.2067,0.493,2,38.98,1053
"2025-06-20 11:00:00",23252,21.42,100,958.74,0.52,2.1,46.53,1054
"2025-06-20 12:00:00",23253,21.45,100,958.6067,0.53,1.9,42.1,1064
"2025-06-20 13:00:00",23254,21.42,100,957.9667,0.563,2.3,53.05,1023
"2025-06-20 14:00:00",23255,21.54,100,957.18,0.697,2.3,44.63,1050
"2025-06-20 15:00:00",23256,21.46,100,956.0833,0.717,3.4,52.88,1009
"2025-06-20 16:00:00",23257,21.13,100,955.08,0.99,3.8,63.23,1072
"2025-06-20 17:00:00",23258,21.18,100,954.6766,0.89,2.7,44.63,1078
"2025-06-20 18:00:00",23259,21.11,100,953.9667,0.813,2.9,44.18,1066
"2025-06-20 19:00:00",23260,21.03,100,953.6234,0.91,4.1,50.57,1061
"2025-06-20 20:00:00",23261,20.92,100,953.93,0.767,2.7,35.81,999
"2025-06-20 21:00:00",23262,20.9,100,954.3234,0.737,2.4,33.35,1025
"2025-06-20 22:00:00",23263,20.83,100,955.2534,0.387,1.6,20.45,1039
"2025-06-20 23:00:00",23264,20.79,100,955.5634,0.39,1.1,22.18,1042
"2025-06-21 00:00:00",23265,20.64,100,955.7,0.123,0.9,8.31,1000
"2025-06-21 01:00:00",23266,20.61,100,955.5833,0.143,1.2,5.302,1004
"2025-06-21 02:00:00",23267,20.71,100,955.5867,0.463,3,41.77,1028
"2025-06-21 03:00:00",23268,20.58,100,955.28,0.36,1.5,0.091,1027
"2025-06-21 04:00:00",23269,20.5,100,955.1166,0.203,1.1,1.817,977
"2025-06-21 05:00:00",23270,20.35,100,954.9033,0.13,1.4,2.201,1024
"2025-06-21 06:00:00",23271,20.24,100,954.7333,0.023,0.8,0,989
"2025-06-21 07:00:00",23272,20.22,100,955.1533,0.113,1.3,5.985,1040
"2025-06-21 08:00:00",23273,20.24,100,955.6733,0.163,1.1,14.03,1007
"2025-06-21 09:00:00",23274,20.14,100,955.9966,0.283,1.3,52.59,1055
"2025-06-21 10:00:00",23275,20.35,100,956.0333,0.317,1.2,46.73,1070
"2025-06-21 11:00:00",23276,20.42,100,956.2,0.41,1.8,49.84,1053
"2025-06-21 12:00:00",23277,20.79,100,955.7833,0.377,1.7,36.91,1081
"2025-06-21 13:00:00",23278,20.68,100,956.06,0.437,1.8,26.8,1030
"2025-06-21 14:00:00",23279,20.3,100,956.0667,0.14,1,356.1,1116
"2025-06-21 15:00:00",23280,20.16,100,955.9,0.073,1.1,0,1036
"2025-06-21 16:00:00",23281,20.08,100,955.81,0.123,1.1,0,1103
"2025-06-21 17:00:00",23282,20.03,100,955.9233,0.1,1,0,1074
"2025-06-21 18:00:00",23283,20.06,100,955.9,0.07,1.3,8.54,1043
"2025-06-21 19:00:00",23284,19.43,100,956.2667,0.03,0.8,333.1,1132
"2025-06-21 20:00:00",23285,18.98,100,956.7,0.293,0.8,266.8,1053
"2025-06-21 21:00:00",23286,18.85,100,956.8933,0.257,0.8,295.2,1072
"2025-06-21 22:00:00",23287,18.63,100,957.23,0.07,0.8,359,1015
"2025-06-21 23:00:00",23288,18.5,100,957.2333,0.03,0.7,348.6,1042
"2025-06-22 00:00:00",23289,18.41,100,957.3467,0.01,0.8,0,1079
"2025-06-22 01:00:00",23290,18.04,100,957.29,0.01,0.9,0,1035
"2025-06-22 02:00:00",23291,17.77,100,957.05,0.163,1,0.954,1082
"2025-06-22 03:00:00",23292,17.4,100,957.07,0,0.7,358,1064
"2025-06-22 04:00:00",23293,17.05,100,957.21,0.167,0.8,287.1,1058
"2025-06-22 05:00:00",23294,16.83,100,957.3934,0.193,0.8,339.9,1073
"2025-06-22 06:00:00",23295,16.63,100,957.7633,0,0.6,0,989
"2025-06-22 07:00:00",23296,16.71,100,958.2733,0.143,0.7,38.14,1107
"2025-06-22 08:00:00",23297,17.69,99,958.9167,0.403,1.3,58.45,1070
"2025-06-22 09:00:00",23298,18.43,91.8,959.3867,0.577,1.6,49.35,1092
"2025-06-22 10:00:00",23299,20,83,959.2733,0.633,3,77.44,980
"2025-06-22 11:00:00",23300,21.32,73.71,959.0966,0.747,2,97,1089
"2025-06-22 12:00:00",23301,22.99,66.31,959.09,0.667,2.4,75.38,1095
"2025-06-22 13:00:00",23302,23.9,62.27,958.63,0.923,3.1,86.2,1026
"2025-06-22 14:00:00",23303,24.35,61.75,958.2667,0.753,2.9,70.38,1062
"2025-06-22 15:00:00",23304,24.61,61.49,957.9133,0.663,2.5,45.54,1116
"2025-06-22 16:00:00",23305,24.61,60.3,957.78,0.687,2.6,80.3,1074
"2025-06-22 17:00:00",23306,24.39,63.27,957.7133,0.723,3,34.6,1113
"2025-06-22 18:00:00",23307,23.76,64.81,957.7667,0.563,2.5,342.1,1088
"2025-06-22 19:00:00",23308,23.14,65.53,958.1166,0.52,1.5,292.7,1100
"2025-06-22 20:00:00",23309,22.59,65.7,958.4667,0.437,1.2,223.9,1096
"2025-06-22 21:00:00",23310,21.65,68.15,958.9333,0.55,1.2,233.8,1051
"2025-06-22 22:00:00",23311,20.82,73,959.8333,0.41,1.3,214.4,1021
"2025-06-22 23:00:00",23312,20.18,76.03,960.1934,0.513,1.2,244.7,1094
"2025-06-23 00:00:00",23313,19.49,79.72,960.14,0.67,1.2,258.3,1019
"2025-06-23 01:00:00",23314,19.26,79.62,960.2466,0.537,1.3,238.3,1120
"2025-06-23 02:00:00",23315,18.58,84.2,960.16,0.577,1.6,229.6,1047
"2025-06-23 03:00:00",23316,18.1,88,960.2767,0.507,1.2,242,1070
"2025-06-23 04:00:00",23317,17.52,91.4,960.41,0.477,1.2,229.4,1040
"2025-06-23 05:00:00",23318,17.24,92.3,960.6333,0.273,1,234.2,1086
"2025-06-23 06:00:00",23319,17.04,92.8,960.8567,0.287,1.2,239.4,1034
"2025-06-23 07:00:00",23320,17.13,95.3,960.8867,0.05,0.8,353.9,1030
"2025-06-23 08:00:00",23321,18.33,93.3,961.09,0.143,0.8,31.11,1097
"2025-06-23 09:00:00",23322,20.28,84.7,961.2267,0.583,1.1,54.96,1118
"2025-06-23 10:00:00",23323,22.17,77.49,961.1667,0.61,1.7,76.91,1045
"2025-06-23 11:00:00",23324,23.97,70.72,960.9167,0.553,1.3,55.92,1035
"2025-06-23 12:00:00",23325,25.86,65.52,960.5967,0.633,2.1,65.04,1062
"2025-06-23 13:00:00",23326,26.18,64.76,960.1766,0.377,1.8,2.449,1068
"2025-06-23 14:00:00",23327,26.87,63.03,959.8467,0.517,2,31.6,1097
"2025-06-23 15:00:00",23328,26.83,60.07,959.59,0.26,1.8,342.7,1091
"2025-06-23 16:00:00",23329,26.53,60.64,959.42,0.59,1.5,281.6,1113
"2025-06-23 17:00:00",23330,27.07,59.65,959.0367,0.39,1.2,342,1090
"2025-06-23 18:00:00",23331,26.68,61.39,958.8367,0.313,1.1,301,1090
"2025-06-23 19:00:00",23332,25.95,64.95,959.0067,0.58,1.1,248.3,1143
