"TOA5","CRNP_1","CR300","13298","CR310.Std.10.04","CPU:221025_KIHS_Hydro_mod_WS500.CR300","4478","Hour1_HongCheon_AWS"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2023-06-03 01:00:00",5290,16.71,86.2,956.6,0.473,1,228,1161
"2023-06-03 02:00:00",5291,16.39,88.1,956.8567,0.37,0.9,271.1,1203
"2023-06-03 03:00:00",5292,15.83,91.3,957.0867,0.43,1,232.8,1113
"2023-06-03 04:00:00",5293,15.4,94.9,957.2,0.08,1.1,334.6,1153
"2023-06-03 05:00:00",5294,14.82,97,957.6766,0.043,0.6,343,1129
"2023-06-03 06:00:00",5295,14.57,97.8,958.0067,0.01,0.6,358,1243
"2023-06-03 07:00:00",5296,14.41,97.4,958.6934,0.09,0.8,13.05,1115
"2023-06-03 08:00:00",5297,15.78,89.3,959.1967,0.153,0.9,89.3,1164
"2023-06-03 09:00:00",5298,18.05,67.2,959.58,0.427,1.7,56.62,1089
"2023-06-03 10:00:00",5299,19.74,57.95,959.6467,0.597,1.6,69.26,1198
"2023-06-03 11:00:00",5300,21.84,43.7,959.8066,0.7,2.1,72.69,1173
"2023-06-03 12:00:00",5301,22.76,41.4,959.65,0.877,2.4,101,1146
"2023-06-03 13:00:00",5302,22.83,41.08,959.3533,0.887,3.1,113,1185
"2023-06-03 14:00:00",5303,23.59,36.69,958.8867,0.893,3.5,63.03,1183
"2023-06-03 15:00:00",5304,23.66,36.63,958.56,0.98,3.9,68.85,1164
"2023-06-03 16:00:00",5305,23.36,37.53,958.3766,0.893,3.7,83.8,1138
"2023-06-03 17:00:00",5306,22.65,43.11,958.2733,0.663,2.9,53.98,1200
"2023-06-03 18:00:00",5307,21.42,47.52,958.0067,0.52,2.3,353.4,1169
"2023-06-03 19:00:00",5308,20.85,49.78,958.2167,0.48,2.1,357,1191
"2023-06-03 20:00:00",5309,19.95,51.74,958.7333,0.33,1.1,352,1163
"2023-06-03 21:00:00",5310,19.16,52.13,959.3433,0.42,1.3,240.1,1094
"2023-06-03 22:00:00",5311,18.18,53.36,959.9733,0.29,1.1,317.7,1175
"2023-06-03 23:00:00",5312,17.72,53.83,960.5933,0.33,1.2,222.4,1164
"2023-06-04 00:00:00",5313,16.49,59.63,960.5933,0.56,1.3,248.3,1095
"2023-06-04 01:00:00",5314,15.72,64.07,960.8334,0.473,1.4,239.7,1097
"2023-06-04 02:00:00",5315,14.98,66.68,960.8333,0.477,1.2,239.6,1129
"2023-06-04 03:00:00",5316,14.53,66.77,960.87,0.383,1.6,225.3,1112
"2023-06-04 04:00:00",5317,13.88,69.75,961.0933,0.493,1.2,201,1156
"2023-06-04 05:00:00",5318,13.16,75.09,961.47,0.44,1.2,203.7,1115
"2023-06-04 06:00:00",5319,13.11,78.89,961.7367,0.433,1.1,186.2,1103
"2023-06-04 07:00:00",5320,14.08,78.95,962.1067,0.323,2.1,71.79,1180
"2023-06-04 08:00:00",5321,15.3,79.24,962.3367,0.59,1.9,66.99,1147
"2023-06-04 09:00:00",5322,16.58,77,962.45,0.56,2.2,49.86,1206
"2023-06-04 10:00:00",5323,18.4,69.11,962.3066,0.68,2.2,72.13,1112
"2023-06-04 11:00:00",5324,20.48,59.24,961.9966,0.747,2.3,83.5,1141
"2023-06-04 12:00:00",5325,22.32,49.85,961.8967,0.88,3.3,68.7,1097
"2023-06-04 13:00:00",5326,23.3,43.78,961.6866,0.937,3,63.82,1196
"2023-06-04 14:00:00",5327,23.3,42.4,961.2534,0.887,3.4,80.5,1116
"2023-06-04 15:00:00",5328,23.36,42.58,960.7233,0.883,3,73.62,1091
"2023-06-04 16:00:00",5329,22.82,43.53,960.2933,0.717,5.2,58.3,1168
"2023-06-04 17:00:00",5330,22.25,43.96,959.9767,0.597,3.4,39.42,1173
"2023-06-04 18:00:00",5331,22.19,41.51,959.86,0.637,2.8,9.47,1209
"2023-06-04 19:00:00",5332,21.1,44.24,960.4433,0.427,1.4,344.8,1192
"2023-06-04 20:00:00",5333,20.36,44.82,961.1467,0.49,1.1,243.8,1151
"2023-06-04 21:00:00",5334,19.44,47.11,961.52,0.59,2.2,262.3,1172
"2023-06-04 22:00:00",5335,18.97,46.27,961.8267,0.467,1.3,266.7,1124
"2023-06-04 23:00:00",5336,18.35,47,962.2033,0.68,1.2,250,1141
"2023-06-05 00:00:00",5337,17.64,47.4,962.25,0.677,1.2,250.9,1129
"2023-06-05 01:00:00",5338,17.08,48.3,962.34,0.677,1.5,247.2,1094
"2023-06-05 02:00:00",5339,16.3,52.32,962.3667,0.703,1.5,256.8,1172
"2023-06-05 03:00:00",5340,15.8,58.27,962.4534,0.523,1.3,245.8,1087
"2023-06-05 04:00:00",5341,15.08,65.25,962.55,0.69,1.1,249.4,1137
"2023-06-05 05:00:00",5342,14.85,69.3,962.45,0.59,1.4,244.6,1126
"2023-06-05 06:00:00",5343,15,72.31,962.4534,0.557,1.3,241,1155
"2023-06-05 07:00:00",5344,15.56,74.67,962.5466,0.067,0.8,330.5,1121
"2023-06-05 08:00:00",5345,16.88,72.88,962.5466,0.257,1.2,25.8,1101
"2023-06-05 09:00:00",5346,18.34,67.41,962.4434,0.623,2,69.84,1128
"2023-06-05 10:00:00",5347,19.66,64.03,962.2267,0.707,2.7,59.07,1172
"2023-06-05 11:00:00",5348,20.73,60.51,962.1533,0.753,2.6,65.15,1164
"2023-06-05 12:00:00",5349,21.68,61.09,962.05,0.797,2.6,74.89,1166
"2023-06-05 13:00:00",5350,21.55,62.63,961.8167,0.723,2.1,66.35,1225
"2023-06-05 14:00:00",5351,22.12,63.61,961.4633,0.697,2.3,70.13,1147
"2023-06-05 15:00:00",5352,22.27,61.66,960.92,0.683,2.7,60.76,1140
"2023-06-05 16:00:00",5353,21.9,63.97,960.5,0.533,2.1,47.07,1154
"2023-06-05 17:00:00",5354,21.44,66.16,960.2267,0.463,1.9,15.79,1154
"2023-06-05 18:00:00",5355,21.24,64.28,960.19,0.56,2.1,37.08,1128
"2023-06-05 19:00:00",5356,19.79,68.37,960.36,0.393,1.8,0,1103
"2023-06-05 20:00:00",5357,18.58,69.1,960.7067,0.233,1.4,0,1155
"2023-06-05 21:00:00",5358,18.05,68.94,961.3033,0.117,0.9,352.1,1086
"2023-06-05 22:00:00",5359,17.42,69.19,962.0034,0.133,1.2,343.1,1145
"2023-06-05 23:00:00",5360,16.78,69.76,962.3933,0.55,1.1,261,1149
"2023-06-06 00:00:00",5361,16.21,71.72,962.3066,0.393,1.1,241.5,1141
"2023-06-06 01:00:00",5362,15.33,75.93,961.9833,0.627,1.2,259,1108
"2023-06-06 02:00:00",5363,14.88,77.99,961.3267,0.477,0.9,243.1,1109
"2023-06-06 03:00:00",5364,14.85,78.24,960.7233,0.29,1,274.9,1118
"2023-06-06 04:00:00",5365,14.38,79.91,960.17,0.513,1,250.2,1129
"2023-06-06 05:00:00",5366,13.61,83.5,960.0667,0.617,1.3,235.2,1146
"2023-06-06 06:00:00",5367,13.57,84.8,959.7567,0.48,1.2,259.4,1141
"2023-06-06 07:00:00",5368,14.3,84,959.5933,0.273,0.8,309.3,1140
"2023-06-06 08:00:00",5369,15.39,82.7,959.3467,0.293,1.7,32.95,1062
"2023-06-06 09:00:00",5370,16.94,76.93,959.2,0.677,2,76.36,1129
"2023-06-06 10:00:00",5371,18.05,72.28,959.0367,0.827,2.3,74.73,1106
"2023-06-06 11:00:00",5372,18.14,71.57,958.8233,0.76,2.3,47.33,1139
"2023-06-06 12:00:00",5373,19.84,65.56,957.98,0.757,2.3,57.67,1191
"2023-06-06 13:00:00",5374,19.7,68.73,957.54,0.617,2,64.67,1121
"2023-06-06 14:00:00",5375,20.37,67.92,956.7534,0.747,3,68.36,1221
"2023-06-06 15:00:00",5376,21.51,65.04,956.6567,0.887,4.2,82.2,1210
"2023-06-06 16:00:00",5377,21.29,64.2,956.72,0.73,4.2,74.17,1181
"2023-06-06 17:00:00",5378,21.09,66.13,956.41,0.633,2.9,48.14,1169
"2023-06-06 18:00:00",5379,20.73,61,956.5733,0.717,3.2,70.89,1192
"2023-06-06 19:00:00",5380,19.4,63.99,956.65,0.45,1.9,59.33,1236
"2023-06-06 20:00:00",5381,18.14,65.58,957.0634,0.23,1.1,273.1,1203
"2023-06-06 21:00:00",5382,17.47,70.61,957.58,0.317,0.9,259.1,1180
"2023-06-06 22:00:00",5383,17.33,73.66,958.4467,0.257,0.9,261.7,1177
"2023-06-06 23:00:00",5384,17.07,76.39,958.99,0.227,0.9,264.9,1109
"2023-06-07 00:00:00",5385,16.59,79.48,959.0566,0.19,1,280.8,1160
"2023-06-07 01:00:00",5386,16.1,83.1,959.2534,0.053,0.9,3.599,1167
"2023-06-07 02:00:00",5387,16.06,83.7,959.44,0.04,0.8,6.711,1127
"2023-06-07 03:00:00",5388,15.82,84.7,959.67,0.08,0.7,345.7,1217
"2023-06-07 04:00:00",5389,15.58,86.8,959.89,0,0.6,0,1145
"2023-06-07 05:00:00",5390,15.36,88.9,960.0267,0,0.7,0,1198
"2023-06-07 06:00:00",5391,15.28,90.3,960.2867,0,0.7,0,1120
"2023-06-07 07:00:00",5392,15.42,90.8,960.6167,0,0.5,3.427,1136
"2023-06-07 08:00:00",5393,15.77,89.9,960.9667,0.25,1,61.39,1130
"2023-06-07 09:00:00",5394,16.99,84.5,960.9767,0.603,1.6,88.3,1112
"2023-06-07 10:00:00",5395,18,79.74,960.95,0.63,1.6,73.19,1138
"2023-06-07 11:00:00",5396,19.29,74.75,960.7466,0.737,2.2,70.93,1149
"2023-06-07 12:00:00",5397,20.73,67.86,960.39,0.853,2.1,82.4,1069
"2023-06-07 13:00:00",5398,21.75,63.77,959.9867,0.763,2.9,88.7,1195
"2023-06-07 14:00:00",5399,22.22,65.56,959.71,0.737,2.4,56.58,1116
"2023-06-07 15:00:00",5400,21.73,69.39,959.5367,0.76,2.5,57.19,1178
"2023-06-07 16:00:00",5401,21.29,72.01,959.4534,0.683,2.3,62.26,1191
"2023-06-07 17:00:00",5402,20.94,73.61,959.25,0.59,1.7,68.97,1216
"2023-06-07 18:00:00",5403,20.64,74.76,959.0967,0.54,1.7,62,1121
"2023-06-07 19:00:00",5404,19.86,78.76,959.4,0.23,1.2,31.63,1146
"2023-06-07 20:00:00",5405,19.16,82.4,959.6567,0.143,0.8,325.6,1145
"2023-06-07 21:00:00",5406,18.54,84.7,959.8533,0.417,1,243.5,1116
"2023-06-07 22:00:00",5407,18.45,85.2,960.12,0.437,1.1,239.8,1110
"2023-06-07 23:00:00",5408,18.46,85.6,960.1733,0.48,1.1,244.3,1128
"2023-06-08 00:00:00",5409,18.42,86.4,959.59,0.69,1.2,246.4,1155
"2023-06-08 01:00:00",5410,18.05,88.8,959.0767,0.83,1.5,251.9,1166
"2023-06-08 02:00:00",5411,17.93,89.9,958.4167,0.667,1.5,266.7,1201
"2023-06-08 03:00:00",5412,17.86,89.8,958.3734,0.417,1,253.1,1191
"2023-06-08 04:00:00",5413,17.49,90.9,958.3333,0.513,1.1,252.4,1150
"2023-06-08 05:00:00",5414,17.41,90.7,958.16,0.387,1.2,236.4,1183
"2023-06-08 06:00:00",5415,17.23,90.5,958.4833,0.373,1.2,270.7,1183
"2023-06-08 07:00:00",5416,17.09,91.6,958.4767,0.203,1.2,327.6,1127
"2023-06-08 08:00:00",5417,18.24,87.7,957.9067,0.473,2,79.19,1086
"2023-06-08 09:00:00",5418,19.31,81.9,957.1833,0.543,2,52.01,1175
"2023-06-08 10:00:00",5419,20.19,77.6,956.74,0.74,2.7,67.23,1151
"2023-06-08 11:00:00",5420,21.67,69.5,956.2733,0.81,2.2,55.65,1148
"2023-06-08 12:00:00",5421,22.96,65.5,955.94,0.86,2.6,62.26,1190
"2023-06-08 13:00:00",5422,23.09,63.35,955.7133,0.803,3.2,62.68,1172
"2023-06-08 14:00:00",5423,22.25,64.74,955.5433,0.97,3.4,74.16,1222
"2023-06-08 15:00:00",5424,21.45,66.2,954.9434,0.677,2.1,56.12,1160
"2023-06-08 16:00:00",5425,20.88,72.02,955.13,0.5,2,58.3,1168
"2023-06-08 17:00:00",5426,18.72,86.8,954.5167,0.477,1.3,269,1228
"2023-06-08 18:00:00",5427,18.35,88.2,954.2133,0.257,1.2,239.7,1191
"2023-06-08 19:00:00",5428,18.63,87.9,954.1433,0.31,0.9,206.9,1184
"2023-06-08 20:00:00",5429,18.32,87.6,954.2067,0.27,1.1,309.7,1213
"2023-06-08 21:00:00",5430,17.88,89.4,954.94,0.12,0.9,333.2,1236
"2023-06-08 22:00:00",5431,17.79,88.8,955.4167,0.223,0.8,291.9,1153
"2023-06-08 23:00:00",5432,16.88,96.3,954.5467,0.483,1.7,272.8,1194
"2023-06-09 00:00:00",5433,16.61,98.5,953.9067,0.447,1.2,262.6,1184
"2023-06-09 01:00:00",5434,16.62,99.2,953.2367,0.02,1.3,0,1221
"2023-06-09 02:00:00",5435,16.18,99.6,953.22,0.42,2.4,5.108,1155
"2023-06-09 03:00:00",5436,14.22,99.4,953.5533,0.51,1.4,353.1,1122
"2023-06-09 04:00:00",5437,13.76,100,953.6033,0.257,1.1,341.3,1151
"2023-06-09 05:00:00",5438,13.68,100,953.8734,0.26,1.2,320.4,1121
"2023-06-09 06:00:00",5439,13.87,100,954.47,0,0.5,0,1150
"2023-06-09 07:00:00",5440,14.15,100,955.09,0.087,0.9,0,1128
"2023-06-09 08:00:00",5441,14.86,100,955.5067,0.11,1,10.06,1123
"2023-06-09 09:00:00",5442,15.58,100,955.54,0.063,1.2,6.215,1190
"2023-06-09 10:00:00",5443,16.63,94.8,955.7367,0.363,1.6,4.577,1114
"2023-06-09 11:00:00",5444,18.09,84.6,955.8734,0.66,2.3,55.92,1181
"2023-06-09 12:00:00",5445,19.9,72.69,956.0566,0.643,2.3,66.47,1152
"2023-06-09 13:00:00",5446,21.08,62.23,956.1333,0.583,2.3,56.57,1138
"2023-06-09 14:00:00",5447,21.77,57.43,956.0667,0.567,2.4,70.41,1169
"2023-06-09 15:00:00",5448,21.99,55.49,955.77,0.643,2.3,37.32,1184
"2023-06-09 16:00:00",5449,22.65,48.97,955.43,0.577,2,7.252,1195
"2023-06-09 17:00:00",5450,22.38,52.29,955.2833,0.54,1.7,3.377,1149
"2023-06-09 18:00:00",5451,21.56,54.53,955.23,0.497,1.1,260.2,1251
"2023-06-09 19:00:00",5452,21.18,56.84,955.4434,0.703,1.4,255.9,1140
"2023-06-09 20:00:00",5453,20.58,58.52,955.69,0.79,1.3,248.5,1164
"2023-06-09 21:00:00",5454,19.77,60.73,956.2067,0.94,1.5,246.4,1104
"2023-06-09 22:00:00",5455,19.57,58.12,956.87,0.837,1.6,244.9,1137
"2023-06-09 23:00:00",5456,19.47,56.54,957.12,0.6,1.4,262.9,1179
"2023-06-10 00:00:00",5457,18.89,58.05,956.8467,0.39,1.3,305.1,1119
"2023-06-10 01:00:00",5458,17.99,60.56,956.7634,0.11,0.8,325.8,1138
"2023-06-10 02:00:00",5459,17.49,62.28,956.54,0,0.8,358.1,1151
"2023-06-10 03:00:00",5460,17.02,63.85,956.33,0.01,0.6,351.2,1129
"2023-06-10 04:00:00",5461,17.55,60.82,956.3834,0.133,1,328.5,1184
"2023-06-10 05:00:00",5462,17.97,58.65,956.74,0.247,1.3,290.3,1119
"2023-06-10 06:00:00",5463,17.8,59.63,956.9867,0.513,1.2,251.8,1133
"2023-06-10 07:00:00",5464,18.15,64.72,956.9767,0.373,1.1,230.2,1111
"2023-06-10 08:00:00",5465,18.55,70.29,957.3533,0.167,0.9,337.7,1137
"2023-06-10 09:00:00",5466,19.85,68.16,957.75,0.02,1.4,345.8,1113
"2023-06-10 10:00:00",5467,21.89,66.71,957.5733,0.673,2.2,64.92,1069
"2023-06-10 11:00:00",5468,22.54,64.58,957.4867,0.77,2.5,71.3,1140
"2023-06-10 12:00:00",5469,22.89,62.1,957.2767,0.703,2.2,66.29,1134
"2023-06-10 13:00:00",5470,23.97,57.17,956.7067,0.613,1.9,74.67,1106
"2023-06-10 14:00:00",5471,23.77,59.98,957.03,0.547,2.2,59.08,1119
"2023-06-10 15:00:00",5472,24.03,60.05,956.88,0.513,2.1,26.82,1141
"2023-06-10 16:00:00",5473,24.48,60.24,956.21,0.483,1.8,14.49,1151
"2023-06-10 17:00:00",5474,23.83,62.7,955.7767,0.403,1.9,14.27,1125
"2023-06-10 18:00:00",5475,23.33,63.83,955.6433,0.28,1,314.2,1121
"2023-06-10 19:00:00",5476,19.16,71.37,956.5034,0.92,6.6,13.87,1209
"2023-06-10 20:00:00",5477,16.16,92.4,958.2067,0.463,1.6,316.3,1161
"2023-06-10 21:00:00",5478,15.52,99.2,958.41,0.123,0.8,5.514,1092
"2023-06-10 22:00:00",5479,15.29,99.8,958.2967,0.01,0.9,6.378,1075
"2023-06-10 23:00:00",5480,14.97,100,957.9366,0.037,0.7,350,1107
"2023-06-11 00:00:00",5481,15.09,99.8,957.46,0.373,0.9,265.9,1106
"2023-06-11 01:00:00",5482,14.92,99.8,957.5933,0.06,0.7,351.2,1109
"2023-06-11 02:00:00",5483,14.44,100,957.6133,0,0.5,5.953,1178
"2023-06-11 03:00:00",5484,14.44,100,957.78,0,0.6,0,1194
"2023-06-11 04:00:00",5485,14.54,100,957.5333,0.047,0.7,16.22,1115
"2023-06-11 05:00:00",5486,14.37,100,957.4933,0.01,0.6,356.2,1192
"2023-06-11 06:00:00",5487,14.33,100,957.6033,0.053,0.8,15.91,1118
"2023-06-11 07:00:00",5488,14.56,100,957.7534,0.213,0.9,54.25,1078
"2023-06-11 08:00:00",5489,15.19,100,957.82,0.02,0.6,338.8,1079
"2023-06-11 09:00:00",5490,16.56,100,957.9733,0.26,0.9,63.8,1078
"2023-06-11 10:00:00",5491,17.18,100,958.0466,0.14,0.9,8.5,1121
"2023-06-11 11:00:00",5492,19.08,98.3,957.7733,0.293,1.1,39.02,1070
"2023-06-11 12:00:00",5493,20.39,89,957.27,0.307,1.8,59.57,1062
"2023-06-11 13:00:00",5494,20.91,84.6,957.1633,0.377,1.3,38.82,1114
"2023-06-11 14:00:00",5495,20.58,88.2,956.4133,0.31,1,262.5,1093
"2023-06-11 15:00:00",5496,19.72,94.8,956.48,0.453,1.6,252,1154
"2023-06-11 16:00:00",5497,19.97,94.4,956.2967,0.057,0.8,353.7,1098
"2023-06-11 17:00:00",5498,20.1,92.7,956.27,0.15,1.4,350.8,1090
"2023-06-11 18:00:00",5499,20.4,88.4,956.0533,0.377,1.1,289,1142
"2023-06-11 19:00:00",5500,20.14,86.2,956.26,0.69,1.1,254.1,1085
"2023-06-11 20:00:00",5501,19.68,88.5,956.5933,0.737,1.2,245.1,1083
"2023-06-11 21:00:00",5502,18.8,93.2,957.31,0.633,1.6,242.8,1115
"2023-06-11 22:00:00",5503,18.62,94.2,957.69,0.343,1.1,243.2,1068
"2023-06-11 23:00:00",5504,18.39,92.8,957.81,0.417,1.3,246.6,1070
"2023-06-12 00:00:00",5505,18.1,92.9,957.88,0.477,1.6,241.3,1088
"2023-06-12 01:00:00",5506,17.5,96.8,957.7,0.58,1.4,196.9,1139
"2023-06-12 02:00:00",5507,17.13,99,957.7267,0.347,1,206.4,1145
"2023-06-12 03:00:00",5508,16.19,99.8,957.6833,0,0.5,0,1082
"2023-06-12 04:00:00",5509,15.95,100,957.82,0,0.5,0,1072
"2023-06-12 05:00:00",5510,15.89,100,957.8433,0.037,0.5,350,1158
"2023-06-12 06:00:00",5511,16.18,100,958.2167,0,0.5,356.2,1164
"2023-06-12 07:00:00",5512,16.27,99.7,958.4067,0.087,0.9,343.4,1150
"2023-06-12 08:00:00",5513,16.87,99,958.4833,0,0.6,0,1175
"2023-06-12 09:00:00",5514,18.96,92,958.5466,0.263,1.6,17.92,1092
"2023-06-12 10:00:00",5515,20.24,82.7,958.45,0.613,2.7,75.93,1113
"2023-06-12 11:00:00",5516,21.13,75.26,958.2267,0.683,2.1,75.01,1052
"2023-06-12 12:00:00",5517,22.25,68.36,957.88,0.623,2.1,31.82,1110
"2023-06-12 13:00:00",5518,22.56,64.79,957.41,0.633,2.1,47.79,1111
"2023-06-12 14:00:00",5519,22.98,64.91,956.9067,0.7,2.3,78.28,1187
"2023-06-12 15:00:00",5520,23.09,65.16,956.42,0.563,2.3,46.43,1151
"2023-06-12 16:00:00",5521,22.95,63.58,956.1266,0.657,2.7,87.3,1138
"2023-06-12 17:00:00",5522,22.37,64.65,955.9567,0.503,2.3,29.65,1181
"2023-06-12 18:00:00",5523,20.49,72.38,956.1733,0.377,2.1,282.4,1113
"2023-06-12 19:00:00",5524,19.5,80.3,956.1533,0.02,0.7,0.577,1156
"2023-06-12 20:00:00",5525,19.01,79.04,956.1166,0.123,0.7,319.3,1100
"2023-06-12 21:00:00",5526,18.28,85,956.15,0.02,0.7,353.9,1195
"2023-06-12 22:00:00",5527,17.86,87.9,956.6067,0,0.5,0,1115
"2023-06-12 23:00:00",5528,17.49,88.3,956.7667,0.03,0.6,344.3,1118
"2023-06-13 00:00:00",5529,17.59,88.8,956.7633,0.117,0.8,334.6,1091
"2023-06-13 01:00:00",5530,16.98,91.9,956.5667,0.043,0.5,349.3,1125
"2023-06-13 02:00:00",5531,17.05,91.6,956.3633,0.043,0.6,341.3,1119
"2023-06-13 03:00:00",5532,16.8,93.1,956.2,0.027,0.7,353.6,1149
"2023-06-13 04:00:00",5533,16.27,95.4,956.2767,0,0.6,0,1145
"2023-06-13 05:00:00",5534,16.01,96.1,956.38,0.02,0.6,356.2,1098
"2023-06-13 06:00:00",5535,15.97,97.2,956.4333,0,0.6,0,1133
"2023-06-13 07:00:00",5536,16.66,93.3,956.35,0.07,0.8,344.2,1169
"2023-06-13 08:00:00",5537,17.26,93.3,956.2933,0.04,0.6,17.43,1144
"2023-06-13 09:00:00",5538,19.55,82.5,956.34,0.467,2.5,46.44,1064
"2023-06-13 10:00:00",5539,20.88,68.82,956.12,0.657,2,65.19,1178
"2023-06-13 11:00:00",5540,21.47,63.04,955.97,0.603,2.4,51.32,1135
"2023-06-13 12:00:00",5541,20.88,71.68,955.9167,0.25,1.7,10.39,1119
"2023-06-13 13:00:00",5542,23.02,59.69,955.5034,0.687,2.4,63.3,1132
"2023-06-13 14:00:00",5543,22.8,59.32,955.03,0.803,3.1,97.3,1175
"2023-06-13 15:00:00",5544,22.28,63.35,954.8033,0.62,2.3,59.5,1157
"2023-06-13 16:00:00",5545,22.96,57.47,954.3433,0.65,2.3,43.66,1162
"2023-06-13 17:00:00",5546,23.05,55.6,954.2733,0.713,2.2,11.32,1170
"2023-06-13 18:00:00",5547,21.58,63.38,954.5,0.213,1.8,0.067,1210
"2023-06-13 19:00:00",5548,18.05,90.2,955.09,0.663,2.2,234,1186
"2023-06-13 20:00:00",5549,17.77,83.5,955.8567,0.633,1.7,262.8,1119
"2023-06-13 21:00:00",5550,17.05,86.9,956.37,0.347,1.3,290.9,1142
"2023-06-13 22:00:00",5551,16.28,92,956.6967,0.077,0.8,343,1176
"2023-06-13 23:00:00",5552,15.47,95.4,956.73,0.237,0.8,320.9,1072
"2023-06-14 00:00:00",5553,15.3,95.1,956.4833,0.217,1,298.7,1140
"2023-06-14 01:00:00",5554,14.74,97.3,956.2333,0,0.5,356,1099
"2023-06-14 02:00:00",5555,14.4,98.2,956.0967,0.137,0.8,322.4,1110
"2023-06-14 03:00:00",5556,14.19,98.5,956.16,0.01,0.6,348.6,1158
"2023-06-14 04:00:00",5557,13.54,99.4,956.44,0,0.5,4.823,1084
"2023-06-14 05:00:00",5558,13.03,100,956.65,0.053,0.6,37.01,1123
"2023-06-14 06:00:00",5559,12.79,100,956.99,0,0.5,0,1087
"2023-06-14 07:00:00",5560,12.8,100,957.3567,0.273,0.7,84.1,1150
"2023-06-14 08:00:00",5561,13.49,100,958.0067,0.23,0.9,58.93,1110
"2023-06-14 09:00:00",5562,14.08,100,958.4567,0.423,0.9,72.05,1124
"2023-06-14 10:00:00",5563,16.31,99.6,958.4833,0.563,1.2,65.84,1117
"2023-06-14 11:00:00",5564,19.1,83.1,958.19,0.47,1.5,48.17,1169
"2023-06-14 12:00:00",5565,20.19,72.99,958.1433,0.497,1.5,126.6,1182
"2023-06-14 13:00:00",5566,22.07,63.5,957.6833,0.67,2.1,44.28,1154
"2023-06-14 14:00:00",5567,22.63,60.01,957.0233,0.697,2.1,62.37,1132
"2023-06-14 15:00:00",5568,22.91,58.53,956.7333,0.823,2.5,74.26,1141
"2023-06-14 16:00:00",5569,22.83,58.35,956.3633,0.62,2,53,1156
"2023-06-14 17:00:00",5570,21.64,66.42,956.5533,0.293,1.7,10.06,1132
"2023-06-14 18:00:00",5571,18.63,78.39,957.1266,0.81,3.4,334.6,1098
"2023-06-14 19:00:00",5572,15.37,97.8,957.4767,0.617,2.1,288.6,1083
"2023-06-14 20:00:00",5573,15.22,99.2,957.62,0.197,0.9,328.8,1088
"2023-06-14 21:00:00",5574,14.88,100,958.3734,0.057,0.8,10.03,1030
"2023-06-14 22:00:00",5575,14.67,100,958.8967,0,0.7,0,1113
"2023-06-14 23:00:00",5576,14.49,100,959.2633,0.01,0.6,0,1046
"2023-06-15 00:00:00",5577,14.37,100,959.2067,0.02,0.6,353.7,1096
"2023-06-15 01:00:00",5578,14.35,99.6,959.2367,0.27,0.9,297.6,1067
"2023-06-15 02:00:00",5579,14.07,100,959.18,0.047,0.9,335.9,1077
"2023-06-15 03:00:00",5580,13.68,100,959.13,0.063,0.6,348.9,1104
"2023-06-15 04:00:00",5581,13.73,100,959.1733,0.16,0.7,324.2,1147
"2023-06-15 05:00:00",5582,13.58,100,959.3867,0.09,0.8,342.5,1063
"2023-06-15 06:00:00",5583,13.5,100,959.6667,0.027,0.8,354,1138
"2023-06-15 07:00:00",5584,13.98,100,959.8934,0,0.5,0,1072
"2023-06-15 08:00:00",5585,14.89,100,960.0133,0.15,0.8,50.09,1078
"2023-06-15 09:00:00",5586,15.84,98.8,960.0933,0.023,0.8,28.91,1087
"2023-06-15 10:00:00",5587,17.56,94.4,959.9767,0.303,1.1,53.82,1069
"2023-06-15 11:00:00",5588,18.95,88.8,960.0333,0.283,1.3,33.23,1021
"2023-06-15 12:00:00",5589,19.57,82.9,960.0667,0.33,1.6,19.51,1116
"2023-06-15 13:00:00",5590,20.03,78.86,959.9333,0.123,1,3.426,1116
"2023-06-15 14:00:00",5591,20.96,73.44,959.45,0.497,2,22.06,1127
"2023-06-15 15:00:00",5592,21.5,70.32,959.3134,0.303,1.2,9.7,1128
"2023-06-15 16:00:00",5593,22.29,64.33,959.14,0.433,1.4,351.4,1119
"2023-06-15 17:00:00",5594,22.43,54.84,959.12,0.353,1.3,273.6,1128
"2023-06-15 18:00:00",5595,22.29,55.61,959.1233,0.48,1.3,260.5,1107
"2023-06-15 19:00:00",5596,21.64,60.94,959.4167,0.53,1.1,251.9,1115
"2023-06-15 20:00:00",5597,20.84,63.13,959.9467,0.6,1.2,249,1127
"2023-06-15 21:00:00",5598,19.81,71.26,960.41,0.717,1.2,252.1,1116
"2023-06-15 22:00:00",5599,18.77,77.92,961.0133,0.763,1.2,256.9,1088
"2023-06-15 23:00:00",5600,18.4,83.3,961.3167,0.633,1.1,247.6,1063
"2023-06-16 00:00:00",5601,17.91,87.5,961.68,0.73,1.2,254.6,1114
"2023-06-16 01:00:00",5602,17.45,90.8,961.9833,0.713,1.1,259.4,1039
"2023-06-16 02:00:00",5603,17.07,93.1,962.3033,0.337,1.1,247.4,1053
