z6-19848,,Port7,Port7,Port8,Port8, 
# Records: 6,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 11:15:00 AM,2,2091,7731,9602,7716,UTC+09:00
08/24/2022 11:30:00 AM,3,2092,7736,9602,7658,UTC+09:00
08/24/2022 11:45:00 AM,4,2092,7735,9599,7613,UTC+09:00
08/24/2022 12:00:00 PM,5,2092,7735,9598,7592,UTC+09:00
08/24/2022 12:15:00 PM,6,2092,7734,9600,7572,UTC+09:00
08/24/2022 12:30:00 PM,7,2092,7735,9601,7551,UTC+09:00
