z6-19850,Port7,Port7,Port8,Port8
# Records: 11,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:00:00 AM,89,7713,96.04,26.3
08/24/2022 02:15:00 AM,90,7718,96.04,26.0
08/24/2022 02:30:00 AM,90,7722,96.03,25.8
08/24/2022 02:45:00 AM,91,7728,96.01,25.6
08/24/2022 03:00:00 AM,91,7729,96.0,26.1
08/24/2022 12:30:00 PM,92,7733,95.98,26.3
08/24/2022 12:45:00 PM,92,7737,95.96,26.3
08/24/2022 01:00:00 PM,92,7738,95.94,26.1
08/24/2022 01:15:00 PM,92,7741,95.94,25.8
08/24/2022 01:30:00 PM,92,7739,95.93,25.5
08/24/2022 01:45:00 PM,92,7737,95.98,25.4
