z6-19850,,Port7,Port7,Port8,Port8, 
# Records: 11,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:00:00 AM,2,2089,7713,9604,7633,Not Set
08/24/2022 02:15:00 AM,3,2090,7718,9604,7599,Not Set
08/24/2022 02:30:00 AM,4,2090,7722,9603,7579,Not Set
08/24/2022 02:45:00 AM,5,2091,7728,9601,7562,Not Set
08/24/2022 03:00:00 AM,6,2091,7729,9600,7607,Not Set
08/24/2022 12:30:00 PM,7,2092,7733,9598,7628,UTC+09:00
08/24/2022 12:45:00 PM,8,2092,7737,9596,7631,UTC+09:00
08/24/2022 01:00:00 PM,9,2092,7738,9594,7606,UTC+09:00
08/24/2022 01:15:00 PM,10,2092,7741,9594,7583,UTC+09:00
08/24/2022 01:30:00 PM,11,2092,7739,9593,7551,UTC+09:00
08/24/2022 01:45:00 PM,12,2092,7737,9598,7535,UTC+09:00
