z6-19845,Port7,Port7,Port8,Port8
# Records: 21,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:15:00 AM,93,7742,96.02,25.6
08/24/2022 02:30:00 AM,94,7752,96.01,25.5
08/24/2022 02:45:00 AM,94,7757,96.0,25.2
08/24/2022 03:00:00 AM,95,7759,95.98,25.7
08/24/2022 12:30:00 PM,95,7764,95.96,25.9
08/24/2022 12:45:00 PM,95,7764,95.94,26.0
08/24/2022 01:00:00 PM,95,7766,95.93,25.9
08/24/2022 01:15:00 PM,95,7765,95.92,25.8
08/24/2022 01:30:00 PM,95,7764,95.91,25.4
08/24/2022 01:45:00 PM,95,7762,95.9,24.9
08/24/2022 02:00:00 PM,95,7765,95.89,24.5
08/24/2022 02:15:00 PM,96,7767,95.88,24.6
08/24/2022 02:30:00 PM,96,7769,95.87,24.7
08/24/2022 02:45:00 PM,96,7768,95.87,24.6
08/24/2022 03:00:00 PM,96,7770,95.88,24.3
08/24/2022 03:15:00 PM,95,7766,95.87,24.0
08/24/2022 03:30:00 PM,95,7764,95.8,24.0
08/24/2022 03:45:00 PM,95,7764,95.69,23.9
08/24/2022 04:00:00 PM,95,7765,95.6,23.7
08/24/2022 04:15:00 PM,95,7766,95.56,23.7
08/24/2022 04:30:00 PM,95,7764,95.46,23.6
