z6-19903,Port7,Port7,Port8,Port8
# Records: 19,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:15:00 AM,93,7747,96.02,25.5
08/24/2022 02:30:00 AM,94,7753,96.01,25.8
08/24/2022 02:45:00 AM,95,7763,95.99,25.8
08/24/2022 03:00:00 AM,95,7763,95.98,26.1
08/24/2022 12:30:00 PM,95,7764,95.96,26.5
08/24/2022 12:45:00 PM,95,7766,95.94,26.6
08/24/2022 01:00:00 PM,96,7768,95.92,26.3
08/24/2022 01:15:00 PM,96,7767,95.92,25.9
08/24/2022 01:30:00 PM,96,7767,95.91,25.4
08/24/2022 01:45:00 PM,95,7760,95.9,25.0
08/24/2022 02:00:00 PM,95,7761,95.89,24.7
08/24/2022 02:15:00 PM,96,7767,95.88,24.7
08/24/2022 02:30:00 PM,95,7766,95.87,24.9
08/24/2022 02:45:00 PM,95,7764,95.86,24.9
08/24/2022 03:00:00 PM,95,7765,95.87,24.5
08/24/2022 03:15:00 PM,95,7762,95.86,24.3
08/24/2022 03:30:00 PM,95,7764,95.79,24.2
08/24/2022 03:45:00 PM,95,7764,95.69,24.1
08/24/2022 04:00:00 PM,95,7761,95.59,24.0
