z6-19853,,Port7,Port7,Port8,Port8, 
# Records: 13,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:00:00 AM,2,2096,7774,9604,7521,Not Set
08/24/2022 02:15:00 AM,3,2097,7778,9604,7560,Not Set
08/24/2022 02:30:00 AM,4,2097,7781,9602,7545,Not Set
08/24/2022 02:45:00 AM,5,2098,7784,9601,7526,Not Set
08/24/2022 03:00:00 AM,6,2098,7786,9599,7560,Not Set
08/24/2022 12:30:00 PM,7,2098,7788,9597,7590,UTC+09:00
08/24/2022 12:45:00 PM,8,2098,7789,9595,7601,UTC+09:00
08/24/2022 01:00:00 PM,9,2099,7792,9594,7580,UTC+09:00
08/24/2022 01:15:00 PM,10,2099,7793,9593,7549,UTC+09:00
08/24/2022 01:30:00 PM,11,2098,7791,9592,7512,UTC+09:00
08/24/2022 01:45:00 PM,12,2099,7792,9598,7496,UTC+09:00
08/24/2022 02:00:00 PM,13,2098,7790,9605,7490,UTC+09:00
08/24/2022 02:15:00 PM,14,2099,7792,9610,7472,UTC+09:00
