"TOA5","KIHS_CosmicRay_PyeongChang","CR300","20352","CR310.Std.10.07","CPU:240801_KIHS_Hydro_mod_WS500 _PyeongChang.CR300","12929","Hour1_PyeongChang"
"TIMESTAMP","RECORD","Air_Temp_Avg","RH_Avg","Air_Press_Avg","WS_avg_Avg","WS_max_Max","WD_VCT","HI_NeutronCts_Tot"
"TS","RN","DegC","%","hPa","m/s","m/s","Deg",""
"","","Avg","Avg","Avg","Avg","Max","WVc","Tot"
"2024-10-20 01:00:00",1909,7.813,78.35,966.5167,1.7,5.3,276.4,1278
"2024-10-20 02:00:00",1910,7.647,78.02,966.9567,1.913,6.6,282.5,1290
"2024-10-20 03:00:00",1911,7.42,77.72,967.2667,2.067,7.4,292.1,1223
"2024-10-20 04:00:00",1912,7.397,74.93,967.3533,1.803,6.5,285.5,1288
"2024-10-20 05:00:00",1913,7.363,73.18,967.6866,1.82,6.5,284.3,1334
"2024-10-20 06:00:00",1914,7.407,69.68,968.08,1.707,6.5,277,1268
"2024-10-20 07:00:00",1915,7.403,69.83,968.4233,1.273,6.2,275.1,1292
"2024-10-20 08:00:00",1916,7.577,68.26,968.9167,1.3,7,280.1,1296
"2024-10-20 09:00:00",1917,7.993,66.11,969.4966,1.617,8.4,298.9,1250
"2024-10-20 10:00:00",1918,9.13,59.82,969.8933,1.67,7.8,314.2,1314
"2024-10-20 11:00:00",1919,9.4,61.84,969.7867,1.537,7.7,329.1,1338
"2024-10-20 12:00:00",1920,10.46,57.29,969.25,1.737,6.9,350.6,1280
"2024-10-20 13:00:00",1921,10.61,59.37,968.8367,1.717,9,2.076,1227
"2024-10-20 14:00:00",1922,9.69,65.44,968.49,1.19,4.9,347.2,1271
"2024-10-20 15:00:00",1923,9.96,63.1,968.1234,1.047,4,337.7,1334
"2024-10-20 16:00:00",1924,9.92,63.25,967.8967,1.32,7,10.38,1182
"2024-10-20 17:00:00",1925,9.07,67.49,967.86,1.45,7.3,20.29,1271
"2024-10-20 18:00:00",1926,8.57,70.35,967.1833,1.163,8.5,304,1331
"2024-10-20 19:00:00",1927,7.9,74.33,966.8867,0.917,5,290.4,1261
"2024-10-20 20:00:00",1928,6.703,81,966.9267,0.763,5,218.6,1260
"2024-10-20 21:00:00",1929,5.8,85.8,966.8234,0.8,2.8,194.7,1342
"2024-10-20 22:00:00",1930,5.103,90.1,966.8,0.743,2.1,175.3,1239
"2024-10-20 23:00:00",1931,5.643,89.2,966.4866,0.727,2.4,202.8,1279
"2024-10-21 00:00:00",1932,4.837,93.5,965.7433,0.727,2.4,172.5,1286
"2024-10-21 01:00:00",1933,4.173,96.7,965.1033,0.913,4.1,155.6,1274
"2024-10-21 02:00:00",1934,4.08,98.2,964.5867,0.703,1.9,147.8,1325
"2024-10-21 03:00:00",1935,3.993,99.1,964.1367,0.71,1.8,156,1342
"2024-10-21 04:00:00",1936,3.953,99.7,964.02,0.627,2.1,253.2,1354
"2024-10-21 05:00:00",1937,3.927,100,964.2067,0.263,1.3,229.1,1288
"2024-10-21 06:00:00",1938,5.413,99.7,963.5533,0.53,1.4,305.5,1334
"2024-10-21 07:00:00",1939,6.157,99.1,963.31,0.463,1.8,316.6,1357
"2024-10-21 08:00:00",1940,7.06,96.4,963.0167,0.643,2.4,307.8,1254
"2024-10-21 09:00:00",1941,8.6,91.3,963.3367,0.41,1.4,339,1355
"2024-10-21 10:00:00",1942,10.92,80.8,963.2833,0.747,2,310.3,1384
"2024-10-21 11:00:00",1943,13.2,73.28,962.5634,0.653,3,1.343,1339
"2024-10-21 12:00:00",1944,14.89,68.52,962.0833,0.933,3.1,24.09,1306
"2024-10-21 13:00:00",1945,15.75,68.24,961.4,1.33,4.3,47.53,1314
"2024-10-21 14:00:00",1946,16.29,67.46,960.7333,1.173,5.2,61.01,1425
"2024-10-21 15:00:00",1947,16.3,67.92,960.3567,1.453,5.3,68.01,1321
"2024-10-21 16:00:00",1948,16.05,70.98,960.29,0.873,5.2,63.08,1333
"2024-10-21 17:00:00",1949,15.34,75.49,959.99,0.623,2.9,65.64,1284
"2024-10-21 18:00:00",1950,13.77,86.1,959.8367,0.57,1.4,164.6,1314
"2024-10-21 19:00:00",1951,12.73,91.6,960.2067,0.573,1.4,163.4,1351
"2024-10-21 20:00:00",1952,12.41,94.4,960.6,0.367,0.9,178.9,1350
"2024-10-21 21:00:00",1953,12.13,96.4,960.5767,0.223,0.8,186.9,1275
"2024-10-21 22:00:00",1954,12.09,97.1,960.64,0.35,0.9,175.2,1310
"2024-10-21 23:00:00",1955,12,97.9,960.63,0.267,1,9.77,1310
"2024-10-22 00:00:00",1956,11.71,99.4,960.2067,0.103,1,30.09,1335
"2024-10-22 01:00:00",1957,11.59,100,959.5133,0.197,1,291.4,1353
"2024-10-22 02:00:00",1958,11.5,100,958.83,0.23,0.9,343.6,1330
"2024-10-22 03:00:00",1959,11.47,100,959.0367,0.347,1.3,285.5,1324
"2024-10-22 04:00:00",1960,11.48,100,958.5367,0.253,1,261.6,1284
"2024-10-22 05:00:00",1961,11.65,100,957.9733,0.183,1,322.5,1335
"2024-10-22 06:00:00",1962,11.59,100,957.4533,0.107,0.9,15.89,1401
"2024-10-22 07:00:00",1963,11.71,100,956.9366,0.113,1.4,337,1460
"2024-10-22 08:00:00",1964,11.92,100,956.97,0.19,1.3,328.5,1351
"2024-10-22 09:00:00",1965,12.17,100,956.8233,0.227,1.3,323.8,1264
"2024-10-22 10:00:00",1966,12.42,100,956.18,0.55,2.3,313.9,1229
"2024-10-22 11:00:00",1967,12.65,100,955.2667,0.2,1.3,355.5,1297
"2024-10-22 12:00:00",1968,12.96,100,954.1266,0.247,1.4,323.5,1334
"2024-10-22 13:00:00",1969,13.28,100,953.16,0.417,1.5,321.2,1288
"2024-10-22 14:00:00",1970,13.85,100,951.8666,0.513,2.7,331,1334
"2024-10-22 15:00:00",1971,14.36,100,951.0067,0.167,1.5,353,1325
"2024-10-22 16:00:00",1972,14.54,100,950.41,0.14,1.1,3.609,1337
"2024-10-22 17:00:00",1973,14.64,100,949.86,0.33,1.4,65.84,1371
"2024-10-22 18:00:00",1974,14.77,100,949.5067,0.473,1.9,357.9,1367
"2024-10-22 19:00:00",1975,15.33,100,948.7567,0.803,3,53.49,1339
"2024-10-22 20:00:00",1976,15.62,100,948.4,0.933,4.6,53.9,1350
"2024-10-22 21:00:00",1977,15.6,100,948.3167,1.257,5.1,53.93,1348
"2024-10-22 22:00:00",1978,15.44,100,947.9233,1.073,4.9,60.9,1316
"2024-10-22 23:00:00",1979,15.39,100,947.6033,1.343,4.9,71.84,1287
"2024-10-23 00:00:00",1980,15.23,100,946.8433,1.157,4.3,49.66,1359
"2024-10-23 01:00:00",1981,15.08,100,946.1266,1.52,7.7,50.86,1440
"2024-10-23 02:00:00",1982,14.62,96.1,946.2267,2.46,8.5,89.8,1361
"2024-10-23 03:00:00",1983,13.55,93.9,946.38,2.533,12.6,86.8,1464
"2024-10-23 04:00:00",1984,12.48,88.6,946.9233,3.083,12.6,77.6,1384
"2024-10-23 05:00:00",1985,11.65,82.1,946.92,2.927,12.6,87.9,1423
"2024-10-23 06:00:00",1986,11.18,81.1,946.8666,2.043,10.7,91.5,1396
"2024-10-23 07:00:00",1987,10.37,83.6,946.99,2.58,9.1,68.57,1362
"2024-10-23 08:00:00",1988,9.44,91.1,947.1766,2.68,12.1,84.9,1390
"2024-10-23 09:00:00",1989,9.27,85.2,948.3867,3.443,12.1,61.56,1401
"2024-10-23 10:00:00",1990,8.84,82.6,949.8234,2.44,10.5,57.66,1356
"2024-10-23 11:00:00",1991,8.98,84.1,950.4434,2.243,8.9,60.6,1418
"2024-10-23 12:00:00",1992,9.76,79.37,950.6866,2.19,9.8,56.83,1363
"2024-10-23 13:00:00",1993,10.49,75.58,950.6234,2.11,9.8,95.4,1407
"2024-10-23 14:00:00",1994,11.07,72.95,950.7567,1.803,8.6,127.4,1415
"2024-10-23 15:00:00",1995,11.62,72.29,951.17,1.657,8.9,45.16,1394
"2024-10-23 16:00:00",1996,11.56,72.17,952.1533,1.45,6.2,24.14,1401
"2024-10-23 17:00:00",1997,11.2,74.59,953.2833,1.243,6.2,43.5,1379
"2024-10-23 18:00:00",1998,10.4,77.45,953.72,1.067,5.4,15.9,1340
"2024-10-23 19:00:00",1999,9.51,82.9,954.4067,0.987,4,117.3,1353
"2024-10-23 20:00:00",2000,8.97,85,954.81,0.78,3,224.8,1407
"2024-10-23 21:00:00",2001,8.17,90.7,955.3167,0.773,2.5,150,1377
"2024-10-23 22:00:00",2002,8.45,89.1,955.96,0.637,2.6,230.7,1315
"2024-10-23 23:00:00",2003,7.673,91.9,956.3167,0.707,2.4,160.3,1410
"2024-10-24 00:00:00",2004,5.807,97.6,956.44,0.647,1.6,159.6,1344
"2024-10-24 01:00:00",2005,4.87,99.9,956.82,0.51,1.1,175,1383
"2024-10-24 02:00:00",2006,4.283,100,957.1567,0.54,1.1,188.3,1328
"2024-10-24 03:00:00",2007,3.693,100,956.85,0.417,0.9,174,1359
"2024-10-24 04:00:00",2008,3.59,100,956.8333,0.237,1.1,68.83,1431
"2024-10-24 05:00:00",2009,3.61,100,957.1467,0.547,1.8,228.1,1394
"2024-10-24 06:00:00",2010,3.49,100,957.48,0.483,1.7,233.4,1339
"2024-10-24 07:00:00",2011,3.24,100,957.5367,0.637,2,228.7,1385
"2024-10-24 08:00:00",2012,3.473,100,958.0566,0.47,2,292,1398
"2024-10-24 09:00:00",2013,4.093,100,958.69,0.603,2,6.123,1368
"2024-10-24 10:00:00",2014,5.77,100,958.8767,0.583,1.7,6.938,1347
"2024-10-24 11:00:00",2015,9.98,90.3,958.6033,0.887,3.2,43.3,1351
"2024-10-24 12:00:00",2016,13.68,58.55,958.4333,1.133,3.3,59,1325
"2024-10-24 13:00:00",2017,15.51,49.18,957.7733,1.16,3.7,64.34,1333
"2024-10-24 14:00:00",2018,16.31,49.9,957.1633,1.2,5,103,1310
"2024-10-24 15:00:00",2019,16.98,40.8,956.9333,0.897,3.6,209,1447
"2024-10-24 16:00:00",2020,14.21,57.54,957.5067,0.93,2.4,192.2,1412
"2024-10-24 17:00:00",2021,11.17,73.26,958.0867,0.99,2.6,186,1372
"2024-10-24 18:00:00",2022,9.49,81.7,958.6533,0.82,2.1,161.7,1420
"2024-10-24 19:00:00",2023,8.2,89.1,959.56,0.693,1.6,159,1351
"2024-10-24 20:00:00",2024,7.167,93,960.0433,0.627,1.2,175.2,1423
"2024-10-24 21:00:00",2025,6.543,95.1,960.6833,0.613,1.6,165.1,1353
"2024-10-24 22:00:00",2026,5.577,98.3,961.37,0.387,1.6,193.2,1303
"2024-10-24 23:00:00",2027,5.033,99.4,961.7367,0.64,2.8,232.4,1403
"2024-10-25 00:00:00",2028,4.463,99.6,962.16,0.61,2.3,220.3,1302
"2024-10-25 01:00:00",2029,3.723,100,962.5433,0.397,1.4,194.1,1372
"2024-10-25 02:00:00",2030,3.297,100,962.8567,0.697,3,252.5,1362
"2024-10-25 03:00:00",2031,3.08,100,962.6133,0.83,4.1,259.6,1285
"2024-10-25 04:00:00",2032,2.767,99.8,962.69,0.95,3.2,247.6,1364
"2024-10-25 05:00:00",2033,1.843,100,962.9266,0.4,2.7,275.7,1338
"2024-10-25 06:00:00",2034,1.427,100,963.48,0.513,2.7,234.7,1285
"2024-10-25 07:00:00",2035,0.89,100,963.5233,0.403,1.8,217.8,1380
"2024-10-25 08:00:00",2036,1.99,99.8,963.6533,0.763,3.3,274.6,1314
"2024-10-25 09:00:00",2037,5.377,95.2,964.11,0.92,3.2,316.9,1300
"2024-10-25 10:00:00",2038,9.55,84.8,963.9366,0.613,2.7,348.6,1348
"2024-10-25 11:00:00",2039,14.01,72.36,963.8033,0.79,2.7,62.07,1391
"2024-10-25 12:00:00",2040,17.29,55.7,963.2867,0.893,2.9,13.45,1392
"2024-10-25 13:00:00",2041,19.03,47.35,962.4633,1.173,3.7,239.9,1337
"2024-10-25 14:00:00",2042,19.79,46.14,961.4966,1.157,3.9,226.2,1375
"2024-10-25 15:00:00",2043,19.96,48.15,961.2567,0.893,2.4,205.5,1321
"2024-10-25 16:00:00",2044,18.22,58.53,961.3033,0.773,2.1,187.8,1344
"2024-10-25 17:00:00",2045,15.92,70.55,961.5567,0.753,2.2,162.3,1355
"2024-10-25 18:00:00",2046,13.35,81.7,961.9333,0.763,1.3,166.6,1328
"2024-10-25 19:00:00",2047,12.21,86.6,962.25,0.69,1.4,156.4,1392
"2024-10-25 20:00:00",2048,11.24,91.6,962.1667,0.593,1.4,160.7,1281
"2024-10-25 21:00:00",2049,10.72,94.8,961.8167,0.583,1.3,177.8,1322
"2024-10-25 22:00:00",2050,9.85,98.2,962.0367,0.527,1.5,168.5,1304
"2024-10-25 23:00:00",2051,9.18,100,962.1166,0.427,1,180.2,1277
"2024-10-26 00:00:00",2052,8.74,100,961.9633,0.433,1,170.8,1348
"2024-10-26 01:00:00",2053,8.2,100,962.0267,0.45,1,168.6,1241
"2024-10-26 02:00:00",2054,7.673,100,961.9633,0.19,1.2,268.5,1351
"2024-10-26 03:00:00",2055,6.93,100,961.64,0.207,0.9,335.8,1338
"2024-10-26 04:00:00",2056,6.503,100,961.1333,0.373,1.4,182.1,1295
"2024-10-26 05:00:00",2057,6.41,100,961.3033,0.16,1.1,259.1,1287
"2024-10-26 06:00:00",2058,6.18,100,961.3367,0.3,1,323.4,1353
"2024-10-26 07:00:00",2059,6.137,100,961.5,0.26,1.6,319.8,1338
"2024-10-26 08:00:00",2060,6.44,100,961.7367,0.983,3.3,292.2,1355
"2024-10-26 09:00:00",2061,7.8,100,961.7167,1.357,4.2,304.2,1345
"2024-10-26 10:00:00",2062,10.4,100,961.1,0.877,2.7,344.7,1302
"2024-10-26 11:00:00",2063,15.13,81.2,960.2667,0.737,2.5,41.67,1285
"2024-10-26 12:00:00",2064,18.77,61.87,959.5533,0.89,3.4,282.1,1383
"2024-10-26 13:00:00",2065,19.78,58.2,958.76,1.62,4.9,319.3,1342
"2024-10-26 14:00:00",2066,20.13,56.89,957.85,1.607,5.4,311.3,1335
"2024-10-26 15:00:00",2067,19.94,58.34,957.3567,1.34,4.8,348.5,1363
"2024-10-26 16:00:00",2068,18.85,61.69,957.4,1.307,4.5,326.1,1382
"2024-10-26 17:00:00",2069,16.86,67.95,957.9033,1.39,4.5,276.7,1410
"2024-10-26 18:00:00",2070,15.23,76.71,958.1067,1.307,5.4,250.4,1320
"2024-10-26 19:00:00",2071,13.45,84.2,957.8233,1.16,2.8,220.7,1405
"2024-10-26 20:00:00",2072,11.43,93.9,958.4567,0.623,1.4,170.9,1393
"2024-10-26 21:00:00",2073,10.92,95,958.3167,0.56,1.5,168.8,1331
"2024-10-26 22:00:00",2074,10.72,95.6,957.97,0.637,1.8,195.4,1306
"2024-10-26 23:00:00",2075,9.37,99.1,958.0167,0.52,1.6,166.3,1344
"2024-10-27 00:00:00",2076,8.59,100,957.3766,0.52,1.1,201.1,1397
"2024-10-27 01:00:00",2077,7.703,100,956.66,0.317,1.8,181.7,1335
"2024-10-27 02:00:00",2078,7.513,100,956.8367,0.247,1.8,327.5,1300
"2024-10-27 03:00:00",2079,7.01,100,956.43,0.263,0.9,206.5,1438
"2024-10-27 04:00:00",2080,6.843,100,955.01,0.183,0.9,304.6,1323
"2024-10-27 05:00:00",2081,6.82,100,954.6166,0.527,1.5,152.3,1373
"2024-10-27 06:00:00",2082,6.503,100,954.37,0.417,1.3,249,1414
"2024-10-27 07:00:00",2083,6.663,100,954.5267,0.38,1.1,76.14,1401
"2024-10-27 08:00:00",2084,7.223,100,954.15,0.143,0.9,343.6,1413
"2024-10-27 09:00:00",2085,8.46,100,953.4733,0.403,1.5,349.2,1426
"2024-10-27 10:00:00",2086,9.73,99.3,953.0634,0.44,1.6,31.44,1345
"2024-10-27 11:00:00",2087,11.82,92,952.2433,0.63,1.8,17.6,1310
"2024-10-27 12:00:00",2088,13.94,82.3,951.7833,0.607,2.4,348.4,1349
"2024-10-27 13:00:00",2089,14.86,78.32,951.1633,0.73,2.1,56.42,1427
"2024-10-27 14:00:00",2090,15.7,74.16,950.1533,0.763,3.6,349.2,1382
"2024-10-27 15:00:00",2091,16.04,68.76,949.8134,0.91,4,354.1,1460
"2024-10-27 16:00:00",2092,15.64,69.88,949.5067,0.637,2.5,40.79,1430
"2024-10-27 17:00:00",2093,14.33,79.49,949.8933,0.66,3.2,168.7,1425
"2024-10-27 18:00:00",2094,12.51,95.5,949.75,0.507,1.8,160.2,1401
"2024-10-27 19:00:00",2095,11.83,100,949.9633,0.187,0.9,17.31,1374
"2024-10-27 20:00:00",2096,11.67,100,950.42,0.507,1.5,21.15,1423
"2024-10-27 21:00:00",2097,11.64,100,950.7833,0.337,1.6,347,1394
"2024-10-27 22:00:00",2098,11.32,100,950.7567,0.343,1.1,39.55,1427
"2024-10-27 23:00:00",2099,11.02,100,950.8,0.197,1,346,1449
"2024-10-28 00:00:00",2100,10.66,100,950.3833,0.1,0.8,334.7,1469
"2024-10-28 01:00:00",2101,10.5,100,950.32,0.427,1.7,248.9,1426
"2024-10-28 02:00:00",2102,10.43,100,950.3167,0.403,1.7,295.2,1347
"2024-10-28 03:00:00",2103,9.88,100,950.52,0.36,1.7,346.5,1387
"2024-10-28 04:00:00",2104,9.34,100,950.46,0.497,2.1,348.2,1378
"2024-10-28 05:00:00",2105,9.29,100,950.6367,0.743,3,299.5,1386
"2024-10-28 06:00:00",2106,9.05,100,950.8967,0.687,2.3,320.4,1358
"2024-10-28 07:00:00",2107,9.04,100,951.24,0.647,2.1,296.5,1380
"2024-10-28 08:00:00",2108,8.91,100,951.81,0.557,1.7,1.896,1411
"2024-10-28 09:00:00",2109,10.31,100,952.4866,0.613,2.9,334.5,1349
"2024-10-28 10:00:00",2110,12.71,92.5,952.98,1.177,4.6,284.2,1331
"2024-10-28 11:00:00",2111,13.06,85.4,953.3134,1.56,4.6,289.1,1333
"2024-10-28 12:00:00",2112,13.64,79.75,953.5,1.143,4.2,305.4,1403
"2024-10-28 13:00:00",2113,14.3,75.88,953.36,1.27,5.3,299,1399
"2024-10-28 14:00:00",2114,13.18,78.52,953.29,1.617,6.1,303.6,1426
"2024-10-28 15:00:00",2115,12.87,78.47,953.5133,1.223,4.5,314.5,1347
"2024-10-28 16:00:00",2116,12.35,80,953.8333,1.37,5,296.4,1390
"2024-10-28 17:00:00",2117,11.69,80.6,954.2,1.11,4.8,316.8,1333
"2024-10-28 18:00:00",2118,10.93,82.4,954.7733,1.01,3.4,295,1367
"2024-10-28 19:00:00",2119,10.32,83.7,955.56,1.07,3.9,280.6,1363
"2024-10-28 20:00:00",2120,9.89,85.5,956.0667,1.013,3,260.3,1295
"2024-10-28 21:00:00",2121,9.74,86.1,956.16,1.117,3.2,252,1283
"2024-10-28 22:00:00",2122,9.65,85.9,956.5533,0.99,3.2,252.3,1287
"2024-10-28 23:00:00",2123,8.96,86.6,957.08,1.407,3.1,232,1323
"2024-10-29 00:00:00",2124,8.94,84,957.2333,1.19,3.1,236,1317
"2024-10-29 01:00:00",2125,8.29,83.1,957.21,0.987,3.2,239.4,1399
"2024-10-29 02:00:00",2126,6.603,90.9,957.29,0.52,3,249.5,1351
"2024-10-29 03:00:00",2127,5.893,92.5,957.2367,0.517,1.9,226.4,1373
"2024-10-29 04:00:00",2128,5.127,94.4,956.9833,0.56,1.3,188.1,1360
"2024-10-29 05:00:00",2129,4.813,93.8,956.66,0.587,1.4,196.4,1279
"2024-10-29 06:00:00",2130,4.817,93.4,956.6,0.613,1.4,187.6,1346
"2024-10-29 07:00:00",2131,4.6,94.7,956.6967,0.54,1.4,175.9,1320
"2024-10-29 08:00:00",2132,5.257,94.9,956.9767,0.457,1.4,260.3,1356
"2024-10-29 09:00:00",2133,8.66,84.4,957.35,0.793,2.5,317.4,1340
"2024-10-29 10:00:00",2134,11.89,67.43,957.1766,0.917,2.5,338.3,1334
"2024-10-29 11:00:00",2135,14.1,55.3,956.8,0.967,2.9,342.2,1323
"2024-10-29 12:00:00",2136,15.41,48.15,956.65,1.42,4,5.068,1314
"2024-10-29 13:00:00",2137,16.3,48.27,955.89,1.15,3.4,36.18,1366
"2024-10-29 14:00:00",2138,16.11,52.61,955.33,1.1,4.1,61.89,1366
"2024-10-29 15:00:00",2139,16.6,53.82,955.1334,1.35,4.3,53.65,1372
"2024-10-29 16:00:00",2140,15.63,60.04,954.8833,0.75,2.9,101.1,1371
"2024-10-29 17:00:00",2141,13.25,68.35,955.0333,0.89,2.6,162,1338
"2024-10-29 18:00:00",2142,11,77.4,955.2466,0.89,2.1,164.2,1315
"2024-10-29 19:00:00",2143,9.59,84,955.5833,0.663,1.2,167.5,1351
"2024-10-29 20:00:00",2144,8.67,88,956.2867,0.653,1.3,158,1304
"2024-10-29 21:00:00",2145,8.87,89.6,956.84,0.483,1.3,135.1,1292
"2024-10-29 22:00:00",2146,8.56,92.3,957.0167,0.323,0.9,183.9,1300
"2024-10-29 23:00:00",2147,8.24,93.4,957.16,0.463,1.1,151.3,1419
"2024-10-30 00:00:00",2148,8.4,94.2,957.0566,0.38,1,161.1,1305
"2024-10-30 01:00:00",2149,7.61,96.4,957.0267,0.52,1,179.2,1283
"2024-10-30 02:00:00",2150,7.39,98.3,957.5133,0.567,1.5,164.9,1293
"2024-10-30 03:00:00",2151,7.443,98.6,957.87,0.597,1.8,130.2,1240
"2024-10-30 04:00:00",2152,7.037,99.6,958.03,0.62,1.9,131.3,1247
"2024-10-30 05:00:00",2153,6.567,100,958.0867,0.57,1.7,182.2,1281
"2024-10-30 06:00:00",2154,6.227,100,958.4633,0.537,1.4,43.97,1268
"2024-10-30 07:00:00",2155,5.743,100,958.7333,0.49,1.1,175.8,1250
"2024-10-30 08:00:00",2156,6.113,100,959.2933,0.293,1.2,154.1,1233
"2024-10-30 09:00:00",2157,8.64,97.4,959.7233,0.39,1.4,348.8,1336
"2024-10-30 10:00:00",2158,12.33,83.4,959.9366,0.643,1.9,36.63,1274
"2024-10-30 11:00:00",2159,15.39,64.49,959.7367,0.88,2.9,19.24,1336
"2024-10-30 12:00:00",2160,17.32,50.12,959.55,1.193,3.8,326.5,1271
"2024-10-30 13:00:00",2161,18.45,39.07,958.96,1.143,4.4,333.7,1266
"2024-10-30 14:00:00",2162,19.15,37.02,958.34,0.94,3.5,36.42,1337
