z6-19843,,Port7,Port7,Port8,Port8, 
# Records: 14,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:00:00 AM,2,2092,7737,9603,7511,Not Set
08/24/2022 02:15:00 AM,3,2092,7736,9602,7559,Not Set
08/24/2022 02:30:00 AM,4,2092,7739,9601,7544,Not Set
08/24/2022 02:45:00 AM,5,2093,7747,9599,7520,Not Set
08/24/2022 03:00:00 AM,6,2094,7750,9598,7555,Not Set
08/24/2022 03:15:00 AM,7,2092,7736,9596,7572,Not Set
08/24/2022 03:30:00 AM,8,2092,7738,9594,7579,Not Set
08/24/2022 03:45:00 AM,9,2092,7738,9592,7555,Not Set
08/24/2022 04:00:00 AM,10,2092,7740,9592,7540,Not Set
08/24/2022 01:30:00 PM,11,2091,7732,9590,7524,UTC+09:00
08/24/2022 01:45:00 PM,12,2091,7730,9596,7502,UTC+09:00
08/24/2022 02:00:00 PM,13,2092,7733,9603,7473,UTC+09:00
08/24/2022 02:15:00 PM,14,2091,7731,9609,7447,UTC+09:00
08/24/2022 02:30:00 PM,15,2091,7729,9616,7424,UTC+09:00
