z6-19843,Port7,Port7,Port8,Port8
# Records: 14,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:00:00 AM,92,7737,96.03,25.1
08/24/2022 02:15:00 AM,92,7736,96.02,25.6
08/24/2022 02:30:00 AM,92,7739,96.01,25.4
08/24/2022 02:45:00 AM,93,7747,95.99,25.2
08/24/2022 03:00:00 AM,94,7750,95.98,25.6
08/24/2022 03:15:00 AM,92,7736,95.96,25.7
08/24/2022 03:30:00 AM,92,7738,95.94,25.8
08/24/2022 03:45:00 AM,92,7738,95.92,25.6
08/24/2022 04:00:00 AM,92,7740,95.92,25.4
08/24/2022 01:30:00 PM,91,7732,95.9,25.2
08/24/2022 01:45:00 PM,91,7730,95.96,25.0
08/24/2022 02:00:00 PM,92,7733,96.03,24.7
08/24/2022 02:15:00 PM,91,7731,96.09,24.5
08/24/2022 02:30:00 PM,91,7729,96.16,24.2
