z6-19854,,Port7,Port7,Port8,Port8, 
# Records: 17,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:00:00 AM,2,2086,7689,9603,7521,Not Set
08/24/2022 02:15:00 AM,3,2086,7688,9602,7577,Not Set
08/24/2022 02:30:00 AM,4,2086,7690,9601,7568,Not Set
08/24/2022 02:45:00 AM,5,2087,7697,9599,7558,Not Set
08/24/2022 03:00:00 AM,6,2088,7701,9597,7606,Not Set
08/24/2022 03:15:00 AM,7,2088,7703,9595,7642,Not Set
08/24/2022 03:30:00 AM,8,2088,7706,9594,7663,Not Set
08/24/2022 03:45:00 AM,9,2088,7707,9592,7642,Not Set
08/24/2022 04:00:00 AM,10,2089,7709,9592,7601,Not Set
08/24/2022 04:15:00 AM,11,2087,7695,9591,7552,Not Set
08/24/2022 04:30:00 AM,12,2088,7701,9590,7518,Not Set
08/24/2022 04:45:00 AM,13,2088,7705,9589,7484,Not Set
08/24/2022 02:15:00 PM,14,2088,7706,9588,7480,UTC+09:00
08/24/2022 02:30:00 PM,15,2088,7704,9587,7496,UTC+09:00
08/24/2022 02:45:00 PM,16,2088,7707,9587,7492,UTC+09:00
08/24/2022 03:00:00 PM,17,2089,7708,9587,7459,UTC+09:00
08/24/2022 03:15:00 PM,18,2088,7705,9586,7433,UTC+09:00
