z6-19846,Port7,Port7,Port8,Port8
# Records: 12,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:00:00 AM,91,7725,96.03,24.9
08/24/2022 02:15:00 AM,90,7724,96.01,25.6
08/24/2022 02:30:00 AM,91,7725,96.0,25.7
08/24/2022 02:45:00 AM,91,7732,95.98,25.5
08/24/2022 03:00:00 AM,92,7735,95.97,26.0
08/24/2022 03:15:00 AM,92,7738,95.95,26.3
08/24/2022 12:45:00 PM,92,7738,95.93,26.4
08/24/2022 01:00:00 PM,92,7740,95.92,26.2
08/24/2022 01:15:00 PM,92,7738,95.91,26.0
08/24/2022 01:30:00 PM,92,7735,95.9,25.7
08/24/2022 01:45:00 PM,92,7735,95.96,25.4
08/24/2022 02:00:00 PM,92,7737,96.02,25.1
